v_dbid,4995,5004,5276,4096,3939,3708,3082,2636,2340,2189,220
96850,,,,,,,,-1,-1,1,X
96897,1,-1,-1,-1,-1,-1,X,-1,-1,-1,-1
28367,,,,,X,X,1,-1,-1,1,1
96736,-1,1,1,1,1,1,1,1,1,X,1
97086,-1,1,X,1,X,X,1,0,X,1,X
96750,-1,1,1,1,1,1,1,1,1,1,1
96992,1,0,-1,-1,-1,-1,X,X,-1,1,1
28246,1,1,X,X,X,X,1,-1,1,1,0
96976,-1,1,1,X,1,1,1,1,1,1,1
96986,-1,1,1,1,1,1,1,1,1,1,1
96954,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
28276,1,-1,-1,-1,X,X,1,-1,-1,-1,1
1941,1,-1,0,-1,-1,1,1,-1,-1,1,1
99419,-1,1,-1,0,0,X,-1,X,1,X,-1
97193,1,-1,-1,-1,-1,1,X,X,X,X,1
96702,1,-1,1,-1,-1,1,1,-1,-1,1,1
28422,1,-1,X,-1,-1,1,1,-1,-1,X,1
96808,1,-1,1,X,-1,1,X,-1,-1,0,1
28137,,,,,,,,1,X,1,1
97228,-1,1,1,1,X,1,1,1,1,1,1
97009,-1,1,1,1,1,1,1,1,1,1,1
28132,1,-1,-1,-1,-1,X,1,-1,-1,-1,1
4537,1,-1,-1,-1,X,1,X,X,-1,X,1
23938,-1,1,X,1,X,X,X,X,X,1,X
96862,1,-1,-1,0,-1,1,1,-1,-1,1,1
28161,-1,1,1,1,1,1,1,1,1,1,1
28292,-1,1,-1,1,1,1,1,1,1,1,1
28114,-1,1,1,1,1,1,1,-1,1,1,1
4319,1,-1,X,-1,-1,1,1,-1,-1,X,1
96659,,,,,,,,-1,-1,1,-1
96791,1,-1,-1,-1,X,1,1,-1,-1,-1,1
23819,1,-1,-1,-1,-1,1,1,-1,-1,1,-1
28170,1,-1,-1,X,-1,1,1,-1,-1,1,1
36281,X,X,0,X,X,X,1,0,X,1,1
28619,-1,1,1,1,1,1,1,1,1,1,1
96719,1,-1,-1,-1,-1,1,1,-1,-1,X,1
97293,1,-1,1,1,-1,1,1,-1,-1,1,0
23813,1,-1,1,-1,-1,1,1,-1,-1,1,
96680,-1,1,1,1,1,1,1,1,1,1,1
96757,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96997,1,-1,-1,-1,X,1,X,-1,X,1,1
96979,X,X,X,X,1,X,X,1,1,X,1
21818,1,-1,-1,-1,X,1,1,-1,-1,X,1
5956,1,-1,1,1,-1,1,1,-1,-1,1,1
28497,1,-1,-1,-1,X,-1,-1,X,-1,-1,-1
23866,1,-1,-1,-1,-1,1,1,-1,-1,1,0
96738,-1,1,1,1,1,1,1,1,1,1,1
1037,X,-1,1,-1,X,1,1,-1,-1,0,0
96814,X,X,-1,1,-1,1,1,-1,-1,1,X
28354,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
96955,-1,1,1,1,1,1,1,X,1,1,1
96846,,,,,,,X,X,-1,X,X
107041,1,-1,1,1,-1,1,1,-1,-1,1,
4507,-1,-1,1,-1,1,1,0,-1,0,1,1
28257,1,-1,1,1,-1,1,1,-1,-1,1,1
96732,-1,1,1,1,1,1,1,1,1,1,1
28214,X,X,1,1,1,1,1,1,1,1,1
1985,-1,1,1,1,X,1,1,1,1,X,1
4746,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
97156,X,X,X,1,X,1,1,1,1,1,1
28174,-1,1,1,1,1,1,1,1,1,1,1
96699,-1,1,1,1,1,1,X,1,1,X,1
96922,1,0,-1,X,-1,1,1,-1,1,1,1
38610,1,-1,-1,1,X,1,1,-1,X,X,1
96681,-1,1,1,1,1,1,1,1,1,1,1
39711,-1,1,1,1,X,1,1,1,1,1,1
39722,1,-1,-1,-1,-1,1,1,-1,-1,1,X
21817,X,X,-1,X,X,-1,1,-1,-1,-1,-1
96916,-1,1,X,X,X,X,1,X,1,1,1
96799,1,-1,-1,-1,-1,1,1,-1,-1,X,X
105624,X,X,-1,-1,-1,1,1,-1,-1,1,
96744,-1,1,1,1,1,1,1,1,1,1,0
33570,-1,1,1,1,X,1,1,X,1,1,1
28171,-1,1,1,1,1,1,X,1,1,1,1
4540,1,-1,-1,-1,X,1,1,X,-1,X,1
96662,,,,1,X,X,1,1,1,1,1
28463,,,,,,,1,-1,0,1,1
1263,1,-1,1,-1,-1,X,1,-1,-1,1,1
96749,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96716,-1,1,1,1,1,1,1,1,1,1,1
38420,,,,1,1,1,1,-1,1,1,1
96798,1,-1,X,-1,X,-1,-1,X,-1,X,-1
4267,-1,1,1,1,1,1,1,X,X,1,1
28269,1,-1,-1,-1,-1,1,X,-1,X,X,1
28324,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96849,1,-1,1,-1,-1,1,1,X,-1,1,1
4536,1,-1,-1,-1,X,1,1,-1,-1,-1,1
96912,1,-1,-1,-1,-1,0,X,-1,-1,-1,-1
96733,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96711,,,,,,,,1,1,1,X
28311,-1,0,1,1,X,1,1,1,1,1,1
96866,-1,1,1,1,X,1,1,1,X,1,1
96867,1,-1,1,1,-1,1,1,-1,-1,X,1
28122,1,-1,-1,-1,X,X,X,-1,X,X,1
4532,-1,1,1,X,X,1,X,X,1,X,1
28219,1,-1,-1,-1,-1,1,1,-1,-1,0,-1
28148,-1,1,1,1,1,1,1,1,X,1,1
28206,X,-1,1,1,-1,1,1,0,-1,1,1
4337,X,1,1,1,1,1,1,1,1,1,1
28243,X,X,0,-1,-1,1,1,-1,-1,1,0
2097,1,-1,X,-1,-1,1,X,-1,-1,-1,1
96603,-1,1,1,1,1,1,X,1,1,1,1
26851,-1,1,0,1,1,1,1,1,1,1,0
28154,-1,1,1,1,1,1,1,1,1,1,1
24030,1,1,0,-1,-1,-1,0,-1,-1,-1,-1
28493,1,-1,-1,-1,X,-1,-1,-1,-1,-1,-1
1892,1,0,1,1,-1,1,1,-1,-1,1,1
96915,-1,1,1,1,1,1,1,1,1,-1,1
94283,1,0,0,-1,X,-1,0,X,X,X,-1
96775,1,-1,-1,-1,-1,1,1,X,-1,1,1
96674,X,X,X,-1,-1,X,1,-1,X,1,1
96975,-1,1,1,1,1,1,1,1,1,1,X
96987,-1,1,1,1,1,1,X,1,X,1,1
96917,-1,1,1,1,1,1,1,1,X,1,X
96880,-1,1,1,1,X,1,X,1,X,X,1
28238,-1,1,1,1,X,X,1,X,1,X,1
33997,-1,1,1,1,1,1,1,1,1,1,1
96873,1,1,-1,-1,-1,1,1,X,-1,0,0
96886,,,,,,,X,1,1,1,1
2109,-1,1,1,X,X,X,1,X,X,X,1
96856,-1,1,1,1,1,1,1,1,1,1,1
96786,1,-1,-1,X,-1,1,0,-1,-1,-1,-1
28372,1,-1,-1,-1,-1,1,1,X,-1,-1,-1
97125,-1,1,1,1,1,1,1,X,1,1,1
99325,-1,1,1,1,1,1,1,1,1,1,1
96747,1,-1,X,-1,-1,1,1,-1,-1,1,1
97296,1,-1,-1,-1,-1,1,X,-1,-1,1,1
96958,1,-1,-1,-1,-1,-1,-1,X,-1,X,-1
