v_dbid,4995,5004,5276,4096,3939,3708,3082,2636,2340,2189,220
72775,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96973,1,-1,-1,1,-1,1,1,X,-1,X,X
4554,1,1,1,-1,X,1,1,-1,1,1,1
4318,X,X,X,1,X,1,X,X,1,X,1
28397,1,-1,1,-1,X,1,1,-1,X,0,1
95281,-1,1,0,1,1,1,1,1,1,1,X
96887,-1,1,1,1,1,X,1,1,1,1,1
96891,-1,1,1,1,X,1,X,1,1,1,1
96748,-1,1,1,1,1,1,X,1,1,1,0
38398,X,X,X,1,X,1,1,-1,-1,0,1
1746,X,X,-1,1,-1,1,1,X,X,X,-1
1289,,,,,,,,,X,1,1
4347,1,-1,1,0,-1,1,1,-1,-1,1,1
2212,X,X,-1,-1,-1,-1,-1,X,-1,X,X
28228,1,-1,-1,-1,-1,1,1,-1,-1,0,-1
28256,X,X,-1,1,-1,X,X,X,-1,X,X
28390,1,-1,X,1,-1,1,1,-1,-1,X,1
96868,X,X,X,1,X,1,1,1,1,1,1
96914,1,-1,1,1,1,1,1,-1,-1,1,1
96826,1,-1,1,X,-1,1,1,X,-1,1,-1
4556,1,-1,-1,-1,-1,1,1,-1,-1,-1,X
96951,1,-1,-1,X,-1,-1,0,X,-1,-1,-1
96888,-1,1,1,1,1,1,1,1,1,1,1
96692,1,1,1,1,0,1,1,-1,1,1,1
96787,1,-1,-1,-1,-1,1,1,-1,-1,0,1
96717,1,1,1,1,1,1,1,1,1,1,1
4514,-1,1,1,1,1,1,1,-1,1,1,1
96639,X,X,1,1,1,1,1,1,1,X,1
28226,1,-1,X,-1,-1,X,1,-1,-1,0,0
39769,-1,1,1,1,1,1,1,1,1,1,0
96725,-1,1,1,1,1,1,1,1,1,1,1
28127,,,,,,,,,,X,1
25718,-1,1,1,1,1,1,1,1,1,1,1
1419,1,-1,-1,-1,X,1,1,-1,-1,-1,1
96859,-1,1,1,-1,1,1,1,1,1,1,1
96676,-1,1,1,1,1,1,1,1,1,1,1
96852,-1,1,1,1,X,1,1,1,1,1,-1
96842,-1,1,1,1,1,1,1,1,1,1,0
96682,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96811,1,-1,1,-1,1,1,1,-1,-1,0,1
4550,-1,1,1,1,1,1,1,X,1,1,1
23695,1,-1,-1,-1,1,1,1,-1,-1,-1,X
96911,-1,1,1,1,1,1,1,1,1,1,1
23840,X,X,1,1,1,1,1,1,1,1,X
4265,-1,1,1,1,1,1,1,X,1,X,1
96977,1,-1,1,1,-1,1,X,X,-1,0,1
96899,1,-1,1,1,-1,1,1,-1,-1,1,1
28308,-1,1,1,1,X,1,1,1,1,1,1
96706,-1,1,0,1,0,1,0,1,1,1,0
96810,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96729,1,-1,1,X,-1,1,1,-1,X,1,X
28126,1,-1,1,-1,-1,1,1,-1,1,1,1
4385,X,X,1,1,1,1,1,1,1,1,1
96840,X,X,1,1,1,1,1,1,1,1,1
1038,1,-1,1,1,-1,1,1,-1,-1,1,1
96993,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1
96949,1,1,-1,-1,1,1,1,X,-1,-1,1
4553,1,1,-1,-1,-1,1,1,-1,X,-1,0
1993,1,-1,1,-1,-1,1,1,-1,X,0,1
96908,1,-1,1,-1,-1,1,1,-1,X,1,X
2341,1,-1,-1,-1,-1,1,1,-1,-1,1,1
2125,-1,1,1,1,1,1,1,-1,1,1,1
96896,1,-1,1,-1,X,1,1,-1,-1,1,1
28298,-1,1,-1,1,1,1,1,1,X,1,1
1992,,,,,,,,,-1,1,1
96991,-1,1,-1,1,1,1,1,1,1,1,1
58758,1,-1,-1,-1,-1,1,1,-1,-1,0,0
4562,1,-1,X,X,-1,1,1,X,-1,1,
1665,X,X,1,-1,1,1,1,-1,X,X,-1
28193,1,-1,-1,-1,-1,1,1,-1,-1,1,1
28150,1,-1,-1,-1,-1,1,1,X,-1,1,-1
102886,1,-1,-1,-1,-1,1,1,-1,X,1,
96832,-1,1,1,1,X,1,1,1,1,1,1
1913,-1,1,1,1,1,1,1,X,1,1,0
96833,-1,1,1,1,X,1,1,0,1,1,1
96940,0,1,1,1,1,1,1,-1,1,1,1
28377,-1,1,-1,-1,1,1,1,-1,1,1,1
96730,-1,1,1,1,X,1,1,1,X,1,1
28379,1,1,-1,-1,-1,1,-1,-1,1,1,0
96956,1,1,-1,-1,-1,1,1,-1,-1,-1,1
1902,-1,1,X,1,1,1,0,X,0,X,1
28145,1,-1,1,1,1,1,1,-1,-1,1,-1
97004,1,1,1,0,X,1,1,-1,1,X,1
4429,1,-1,-1,-1,-1,1,-1,-1,1,-1,0
840,-1,1,1,1,1,1,1,-1,1,1,1
1164,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28306,-1,1,1,1,X,1,1,1,1,1,X
97137,-1,1,1,1,X,X,1,-1,1,X,X
28220,1,-1,-1,-1,-1,1,1,-1,-1,0,1
96790,1,-1,-1,-1,-1,1,1,X,-1,-1,-1
28123,,,,,X,X,1,1,1,X,1
96953,,,,,,,,1,1,1,1
96745,-1,1,1,1,1,1,1,1,1,1,1
28208,1,1,1,1,1,1,1,-1,X,1,1
96751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34728,-1,1,1,1,1,1,1,1,1,1,1
2247,1,-1,-1,-1,X,1,1,-1,1,1,1
2025,1,-1,-1,-1,-1,1,1,-1,-1,1,1
23785,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96892,-1,1,1,1,X,1,1,1,1,1,1
96768,-1,1,1,1,1,1,1,1,1,1,1
96952,-1,1,1,1,1,1,1,X,1,1,1
23805,-1,1,1,1,X,1,1,1,1,1,1
103488,-1,1,1,1,X,X,1,1,X,1,
4326,1,-1,-1,X,-1,1,1,-1,-1,X,1
96683,,,,,,,,-1,1,1,1
28477,-1,1,1,1,1,X,1,-1,1,1,1
28275,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96707,X,X,X,-1,-1,1,1,-1,-1,X,-1
4555,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
4538,1,-1,-1,-1,-1,1,1,X,-1,-1,1
28116,-1,1,1,1,1,1,1,X,1,1,1
103132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
28321,-1,1,1,1,1,1,1,1,1,1,1
1914,-1,1,1,1,1,1,0,1,1,1,1
96758,-1,1,1,1,1,1,X,1,1,1,1
96851,-1,1,X,X,X,X,1,1,1,X,-1
96752,-1,1,1,1,1,1,1,1,1,1,1
28215,X,X,-1,1,1,1,1,1,1,1,-1
96779,X,-1,-1,X,-1,1,1,-1,X,X,1
28131,-1,1,1,1,1,1,1,X,1,X,1
4516,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22418,X,X,X,-1,-1,1,1,-1,-1,0,1
96753,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
28117,1,0,1,X,X,1,X,-1,-1,1,0
96872,-1,1,-1,X,X,1,1,-1,X,1,0
96950,-1,1,1,1,1,1,1,1,1,1,1
96881,,,,,,,,,1,X,-1
96780,1,1,-1,-1,X,1,1,-1,X,-1,0
5846,-1,1,1,1,1,1,X,1,1,1,1
5565,1,-1,-1,-1,-1,1,1,-1,-1,1,
2073,-1,1,1,1,X,1,1,1,1,X,1
2338,-1,1,1,1,1,1,1,X,1,X,1
34249,1,1,1,1,X,X,X,-1,1,1,1
96818,1,-1,-1,-1,-1,1,1,-1,-1,1,1
28125,X,X,1,-1,-1,1,1,-1,X,1,1
34235,1,1,1,1,X,X,1,-1,1,1,X
96693,1,1,1,1,1,1,1,0,1,1,X
28266,-1,1,1,1,1,1,1,-1,1,1,1
38605,-1,1,1,X,X,X,1,1,1,1,1
97130,-1,1,1,1,1,1,X,1,1,1,1
105192,-1,1,1,1,1,1,1,1,1,1,
28398,1,-1,1,-1,-1,1,1,X,-1,0,1
96834,,,,,,,1,-1,-1,1,1
96684,-1,1,1,1,X,1,1,1,1,1,1
96740,-1,1,1,1,1,1,1,1,1,1,1
96772,1,-1,-1,-1,-1,1,1,-1,-1,0,-1
96781,1,-1,-1,-1,X,X,1,-1,-1,-1,1
28141,X,X,-1,-1,X,1,1,-1,-1,1,X
28156,-1,1,1,1,X,1,1,1,1,X,1
96782,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4271,1,-1,-1,-1,X,1,1,-1,-1,1,1
4440,1,1,1,-1,X,1,1,-1,1,1,1
96806,1,-1,1,-1,-1,1,1,-1,-1,X,1
96883,-1,1,1,1,X,X,1,1,1,1,1
28291,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96708,,,,,,,,,X,1,1
96884,1,-1,-1,-1,-1,1,X,X,-1,1,1
23691,1,1,1,X,1,1,1,-1,1,X,1
28280,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
97014,-1,1,1,1,1,1,1,-1,1,1,1
96807,-1,1,0,1,1,1,1,0,1,X,1
96771,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96934,1,-1,-1,-1,-1,1,1,-1,-1,1,1
33569,1,-1,-1,-1,X,1,1,X,-1,X,0
23792,X,X,1,-1,X,1,1,-1,-1,-1,-1
96837,-1,1,1,1,1,1,1,1,1,1,1
28481,X,X,-1,-1,-1,1,1,X,-1,-1,X
25919,1,-1,-1,-1,-1,1,1,X,-1,X,0
38613,1,1,1,-1,1,1,1,-1,1,1,1
96829,X,X,1,-1,1,X,1,-1,-1,X,-1
96882,1,-1,1,1,-1,1,1,-1,-1,1,1
96734,-1,1,1,1,1,1,1,1,1,1,1
96668,1,-1,1,1,0,1,X,-1,-1,1,1
96737,-1,1,1,1,1,1,1,1,1,1,1
34231,-1,1,1,1,1,1,1,X,1,1,1
1929,1,-1,-1,-1,-1,1,1,-1,-1,1,0
23413,-1,1,1,1,1,1,1,1,1,1,
28244,1,1,-1,-1,X,X,1,X,-1,1,0
96769,-1,1,1,1,1,1,1,1,1,1,-1
96704,1,1,X,-1,X,1,1,-1,-1,-1,1
1852,1,-1,-1,-1,-1,1,1,-1,-1,0,0
28241,1,1,1,-1,1,1,X,X,-1,X,0
28331,1,0,0,-1,-1,1,0,-1,0,1,1
96785,1,-1,,-1,-1,1,X,-1,-1,-1,1
39319,-1,1,1,1,1,1,1,1,X,1,1
4260,1,-1,-1,-1,-1,1,X,-1,X,X,X
97011,1,X,-1,-1,0,1,1,-1,-1,X,0
102887,-1,1,X,-1,X,X,X,X,1,1,
96793,1,-1,-1,-1,X,1,X,-1,-1,X,-1
101954,1,-1,-1,-1,-1,1,1,-1,-1,-1,
23873,0,1,1,1,X,1,1,-1,1,0,1
28247,1,1,-1,-1,-1,1,0,X,-1,X,0
4482,1,-1,-1,-1,0,1,1,X,-1,0,1
1854,-1,1,1,1,1,1,1,1,X,X,1
1935,-1,1,1,1,X,1,1,1,1,1,1
96767,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96651,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96795,X,X,-1,-1,X,-1,X,X,X,X,X
96816,1,-1,-1,-1,-1,1,1,-1,-1,1,1
1204,1,-1,1,-1,-1,1,1,-1,-1,X,1
4531,-1,1,1,1,1,1,1,1,X,1,X
96648,-1,1,1,1,1,1,1,1,1,X,1
1909,-1,1,X,1,X,1,1,0,1,1,1
28399,X,X,1,-1,X,X,X,X,X,0,1
96854,-1,1,1,1,X,1,1,1,1,1,-1
96675,-1,1,1,1,1,1,1,1,1,1,1
96709,1,1,1,-1,0,1,1,-1,1,X,X
105849,1,-1,-1,-1,X,1,1,X,-1,0,
101580,1,-1,-1,-1,-1,1,1,-1,-1,0,
1023,1,1,-1,-1,X,-1,1,X,-1,X,-1
28210,1,1,-1,X,X,-1,-1,X,X,X,-1
4283,,,,,,,,-1,X,-1,0
2224,1,-1,-1,-1,-1,1,1,-1,-1,1,-1
4262,X,X,1,1,X,1,1,1,1,1,1
97076,X,1,1,1,X,1,1,X,X,X,1
1927,1,X,1,1,0,1,1,-1,-1,1,1
96788,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
96728,-1,1,1,1,1,1,1,1,1,1,1
96765,1,-1,1,-1,-1,1,1,-1,X,0,1
4529,-1,1,1,1,1,1,1,-1,1,1,1
96673,-1,1,1,1,1,1,1,1,1,1,1
96823,1,-1,1,-1,X,X,1,-1,-1,1,1
1186,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
97017,-1,1,1,1,1,1,1,1,1,1,1
4541,,,,,,,,,1,X,1
96959,-1,1,1,0,0,1,1,X,X,1,1
23704,1,0,0,-1,-1,1,1,-1,0,1,1
28192,-1,1,1,1,1,1,1,X,1,1,1
96824,1,-1,-1,-1,X,X,1,-1,X,1,1
96904,,,,,,,X,-1,X,X,-1
4560,1,0,0,1,X,X,1,-1,1,0,0
1922,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96685,X,X,X,X,X,X,1,-1,1,X,X
96792,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4346,-1,1,1,1,1,1,1,1,1,1,1
1403,-1,1,1,1,1,1,1,1,1,1,1
4238,-1,1,1,1,1,1,1,1,1,1,0
28338,-1,1,-1,1,X,1,1,1,X,1,1
4462,X,X,X,-1,X,1,1,-1,-1,1,1
96813,1,-1,X,-1,-1,1,1,-1,-1,1,1
4412,1,-1,-1,-1,-1,1,1,-1,-1,0,1
96820,-1,1,1,1,1,1,1,1,1,1,0
96936,1,-1,1,-1,-1,1,1,-1,X,0,1
95017,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96906,,,,,,,,1,1,1,1
4275,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96817,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96742,1,1,X,1,X,1,-1,X,X,1,-1
1873,,,,,,,,,X,0,1
96652,1,X,1,-1,-1,1,1,-1,-1,0,1
28255,1,1,-1,1,-1,-1,-1,-1,-1,1,-1
39717,,,,-1,1,1,1,-1,1,1,1
2327,-1,1,1,1,1,1,1,1,1,X,1
2173,-1,1,1,1,1,1,1,X,1,X,1
96919,1,1,-1,-1,X,1,1,-1,-1,X,1
28115,1,0,1,1,X,1,X,-1,-1,1,1
96870,1,1,-1,X,-1,1,1,X,1,1,1
4348,-1,1,-1,1,1,1,1,1,1,1,1
96910,X,X,1,1,1,1,1,1,1,1,1
96663,1,1,0,-1,-1,X,1,X,-1,-1,-1
28407,-1,1,1,1,1,1,1,X,X,X,-1
96670,1,1,1,1,X,1,1,-1,1,1,1
96800,1,-1,-1,-1,X,1,1,-1,-1,-1,X
28178,1,-1,-1,-1,-1,1,1,X,-1,0,1
97020,1,1,1,X,1,1,1,1,1,1,1
28400,1,-1,1,-1,-1,1,1,-1,-1,0,1
96999,-1,1,1,X,1,1,1,1,1,X,1
4519,-1,1,1,1,1,1,1,X,1,1,1
96930,X,X,1,1,1,1,1,1,1,1,1
97280,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1
38596,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96695,1,-1,1,-1,-1,1,1,-1,X,1,1
96661,X,X,X,0,X,X,0,X,X,1,X
96760,1,-1,-1,X,-1,1,X,-1,-1,1,1
96701,X,X,-1,1,X,1,1,X,1,1,1
1965,1,-1,1,1,-1,1,1,-1,1,1,
97344,-1,1,1,1,1,1,0,1,1,1,
1073,-1,-1,0,-1,-1,1,1,-1,-1,1,X
28506,X,X,-1,-1,X,-1,X,-1,-1,-1,-1
96848,1,-1,-1,-1,-1,X,1,-1,-1,1,X
96844,-1,1,1,1,1,1,1,1,1,1,1
96653,-1,1,1,1,1,1,1,1,1,X,1
1394,1,1,1,0,1,1,1,-1,1,1,1
96861,1,-1,-1,-1,X,X,1,-1,-1,X,1
1946,1,1,X,1,1,1,X,-1,1,X,1
1318,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
96825,1,1,1,1,-1,1,1,-1,1,0,X
39714,1,-1,-1,-1,-1,1,1,-1,-1,0,1
4289,1,-1,-1,-1,1,1,1,-1,-1,X,0
96794,1,-1,-1,-1,-1,1,1,-1,-1,-1,X
96805,X,X,-1,-1,X,X,-1,X,X,X,-1
96981,1,1,-1,1,-1,-1,-1,-1,-1,1,-1
4328,-1,1,1,1,1,1,1,1,1,1,1
97230,-1,1,1,1,X,1,1,X,1,1,1
28288,X,X,-1,-1,-1,1,1,-1,-1,-1,1
96783,-1,1,1,-1,1,1,1,X,1,X,1
1122,1,1,1,1,-1,1,1,-1,-1,0,X
23705,1,-1,-1,-1,-1,1,1,-1,-1,X,-1
26829,1,1,1,1,1,1,1,-1,1,1,1
33984,1,1,1,1,1,1,1,1,1,1,1
96654,1,0,-1,0,X,1,1,-1,1,1,1
1191,1,-1,-1,-1,-1,1,1,-1,-1,0,X
97025,-1,1,1,1,1,1,1,1,1,1,1
96694,0,1,1,1,1,1,X,X,1,X,1
97007,X,X,1,1,1,1,1,1,1,1,X
97197,1,-1,-1,-1,-1,1,1,X,X,X,1
38602,1,1,1,1,1,1,1,-1,1,1,1
28365,-1,1,1,1,1,1,1,1,1,X,1
97050,-1,1,1,-1,1,1,1,1,X,1,1
96900,1,-1,-1,-1,0,1,1,-1,-1,1,1
28572,X,X,X,X,0,1,1,-1,-1,1,1
96948,-1,1,1,1,1,1,1,1,1,1,1
96902,1,-1,-1,X,-1,1,1,-1,-1,1,1
36392,1,-1,-1,-1,X,1,1,X,-1,X,1
4270,-1,1,1,1,1,1,1,-1,1,1,1
1253,1,-1,-1,-1,-1,1,1,X,-1,1,1
28166,,,,,,,,X,X,1,1
96989,-1,1,1,1,1,1,1,1,1,X,1
23693,1,-1,-1,-1,-1,1,1,-1,-1,1,1
28224,X,X,-1,-1,X,1,1,-1,-1,0,-1
40599,-1,1,1,1,1,1,1,X,-1,1,1
28341,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
96890,-1,1,1,1,1,1,1,1,1,1,1
2307,1,-1,1,-1,X,1,1,-1,-1,1,
4436,X,X,X,1,X,1,1,1,1,1,1
96715,-1,1,1,1,1,1,1,1,1,X,1
39317,-1,1,1,1,1,X,1,1,1,1,1
96931,1,-1,1,-1,-1,1,1,-1,-1,1,1
96801,1,-1,-1,-1,-1,1,1,X,-1,X,-1
28406,,,,,,,,1,X,1,0
2229,1,-1,1,-1,-1,1,1,-1,-1,1,1
96658,1,-1,-1,-1,X,X,X,-1,-1,X,1
96838,1,-1,-1,-1,-1,1,1,-1,-1,1,1
107386,-1,1,1,1,1,1,1,X,1,1,
28370,-1,1,1,1,X,1,1,X,X,1,1
23782,X,X,-1,X,-1,1,1,-1,-1,X,1
1055,X,X,-1,-1,-1,1,1,X,-1,X,1
96925,-1,1,0,1,X,1,1,1,1,1,1
2278,1,-1,-1,-1,-1,1,1,-1,-1,1,1
4294,1,1,X,X,1,1,1,1,1,1,1
96998,-1,1,1,1,1,1,1,-1,1,1,1
96875,1,1,-1,-1,-1,1,1,-1,-1,0,0
28330,1,0,X,-1,-1,1,1,-1,0,1,1
96686,-1,1,1,1,1,1,X,1,1,1,1
28225,X,X,-1,-1,-1,-1,1,-1,-1,0,-1
28349,X,X,1,1,1,1,1,1,X,X,1
4253,1,1,1,1,1,1,1,-1,X,X,1
96885,1,-1,1,-1,-1,1,1,X,X,1,1
96743,-1,1,1,1,1,1,1,1,X,1,1
97199,1,-1,X,-1,-1,1,1,X,-1,1,1
97022,-1,1,1,1,1,1,1,-1,1,1,1
93624,-1,1,1,1,X,1,1,1,1,1,1
96710,-1,1,1,-1,X,1,1,X,X,0,1
96990,-1,1,-1,1,1,1,1,X,1,1,1
96819,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96664,1,1,1,0,-1,1,1,-1,-1,1,-1
97196,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
1183,X,X,1,1,X,1,1,X,0,X,1
23707,X,X,1,1,X,1,1,1,1,X,1
96988,-1,1,1,1,1,1,1,-1,X,1,1
4345,1,-1,1,-1,-1,1,1,-1,-1,1,X
2002,X,-1,1,-1,-1,1,1,-1,-1,X,1
96889,1,-1,-1,-1,-1,1,X,-1,-1,1,1
99416,1,-1,-1,-1,-1,1,1,-1,0,1,1
28404,1,0,X,-1,-1,-1,1,-1,-1,-1,-1
96746,1,-1,-1,-1,-1,1,1,-1,-1,1,1
96815,1,1,1,1,1,1,1,1,1,1,1
4423,1,-1,X,X,-1,1,1,X,-1,1,1
96696,1,-1,-1,-1,-1,1,1,X,-1,1,1
97308,X,X,1,-1,1,1,1,-1,1,1,1
28295,-1,1,-1,1,1,1,1,1,1,1,X
33989,-1,X,X,1,1,1,1,1,1,1,1
