v_dbid,2039,2041,2043,5428
23693,-1,-1,-1,-1
28224,1,1,1,-1
40599,-1,1,1,1
28341,1,1,1,1
96890,-1,1,1,X
2307,1,1,1,1
4436,1,1,1,X
96715,1,1,1,1
39317,1,1,1,1
96931,-1,-1,-1,-1
96801,X,X,X,1
28406,1,1,1,
2229,-1,1,1,0
96658,-1,1,1,1
96838,-1,-1,-1,-1
107386,1,1,1,1
28370,1,1,1,1
23782,X,X,X,1
1055,-1,-1,1,X
96925,1,1,1,1
2278,1,1,1,1
4294,1,1,1,1
96998,1,1,1,1
96875,1,1,1,-1
28330,1,1,0,
96686,1,1,1,1
28225,-1,-1,-1,-1
28349,1,1,1,1
4253,1,1,1,X
96885,-1,-1,-1,1
96743,1,1,1,1
97199,-1,-1,-1,-1
97022,1,1,1,1
93624,1,1,1,1
96710,1,1,1,-1
96990,1,1,1,X
96819,-1,-1,-1,-1
96664,-1,-1,1,1
97196,1,1,1,1
1183,1,1,1,X
23707,1,1,1,1
96988,1,X,1,1
4345,-1,-1,-1,1
2002,-1,-1,-1,-1
96889,X,X,X,X
99416,1,1,1,1
28404,1,1,1,1
96746,-1,-1,-1,1
96815,1,1,1,1
4423,-1,-1,-1,X
96696,1,1,1,1
97308,1,1,1,-1
28295,1,1,1,1
33989,1,1,1,X
39724,-1,-1,-1,1
37676,1,1,1,1
96945,1,1,1,-1
37312,1,1,1,1
28135,-1,1,1,1
28139,1,1,1,X
4274,1,1,1,-1
1930,-1,-1,-1,1
96827,-1,-1,-1,-1
96646,1,1,1,1
1933,1,1,1,1
96731,1,1,1,1
28223,1,1,-1,-1
96671,1,1,1,
96996,1,1,1,1
96843,-1,-1,-1,1
28252,1,1,1,1
96718,1,1,1,1
96789,1,1,1,1
96865,X,X,X,
33990,1,1,1,X
23787,0,-1,-1,X
96755,-1,-1,-1,-1
96836,1,1,1,X
1309,1,1,1,1
96960,-1,-1,-1,0
96932,1,1,1,0
28380,1,1,1,X
2081,1,1,1,1
96770,1,0,-1,0
97018,1,1,1,-1
28508,1,1,1,X
96655,1,1,1,1
4282,-1,-1,-1,-1
28299,-1,0,-1,X
97170,1,1,1,1
4751,1,1,1,1
96905,0,-1,-1,X
97008,1,1,1,1
96831,1,1,1,1
4243,1,1,1,
4546,-1,-1,-1,-1
4545,1,1,1,1
34254,1,1,0,0
96863,X,X,X,
28320,-1,-1,-1,X
96860,1,-1,-1,1
2037,-1,-1,-1,-1
23820,-1,1,1,X
36396,1,1,1,
96678,-1,1,-1,1
96920,-1,-1,-1,-1
96855,1,1,1,1
28358,-1,1,1,1
23808,1,1,1,1
28316,1,1,1,-1
4521,-1,-1,-1,-1
29579,1,1,1,1
97136,1,1,1,1
1945,-1,-1,-1,X
96821,X,1,1,1
102931,1,1,1,1
96847,1,1,1,1
39726,-1,1,1,-1
96974,-1,-1,-1,-1
107385,1,-1,0,1
96874,1,1,1,X
25704,-1,-1,-1,-1
96871,1,1,1,-1
28153,1,1,1,1
96776,-1,-1,-1,-1
97026,1,1,1,1
96713,-1,-1,-1,-1
96697,1,1,1,1
28584,X,X,X,1
28240,1,1,1,X
96909,1,1,1,
97203,1,1,1,X
28514,1,1,-1,1
96773,-1,-1,-1,
96898,-1,1,1,X
96703,1,1,1,1
96660,1,1,1,1
97131,1,1,1,X
28221,-1,-1,-1,0
96835,-1,-1,-1,-1
38601,-1,-1,-1,0
96698,0,0,1,
96845,1,1,1,X
28617,1,1,-1,1
97019,1,1,1,-1
96937,1,1,1,X
96946,0,-1,-1,1
28165,-1,-1,-1,X
4513,-1,-1,-1,-1
1956,1,0,0,1
4398,1,1,1,1
96918,1,1,1,0
28177,1,1,1,1
96756,1,1,1,X
4308,-1,X,-1,-1
34232,1,1,1,
28323,-1,-1,-1,-1
5737,-1,-1,1,1
96761,1,1,1,-1
96774,-1,-1,-1,1
2155,1,1,1,1
96802,1,1,1,1
2319,X,X,X,1
39713,1,1,1,-1
1907,1,1,1,1
28227,1,1,1,
97016,1,1,1,1
28130,1,1,1,1
96839,1,1,1,X
2323,-1,-1,-1,-1
96677,1,1,1,-1
96764,-1,-1,-1,-1
39725,-1,1,1,1
23784,1,1,1,1
96944,X,X,X,X
28278,1,1,1,1
96763,-1,-1,-1,-1
96777,-1,-1,-1,1
41007,-1,-1,-1,-1
96778,-1,-1,-1,X
28615,1,1,1,1
96762,-1,-1,-1,1
96784,1,1,1,1
28248,1,1,1,1
96803,1,1,1,X
28301,-1,-1,-1,1
28279,1,1,1,X
28511,1,1,1,
96735,1,1,1,1
96858,X,1,1,1
96994,1,1,1,X
97198,1,1,1,1
96809,1,1,1,1
97133,-1,-1,-1,X
96878,X,X,X,-1
28424,-1,-1,-1,-1
96705,-1,-1,-1,1
28120,-1,-1,-1,
28352,-1,-1,-1,-1
96933,-1,-1,-1,-1
96876,-1,-1,-1,-1
96901,1,1,-1,-1
28313,1,1,1,
23746,-1,-1,-1,-1
28112,X,X,X,X
96754,-1,-1,-1,-1
1832,-1,-1,-1,X
23894,-1,-1,-1,-1
1405,1,1,1,-1
4544,1,1,1,
34234,1,1,1,1
96726,1,1,1,1
28409,1,1,1,1
28253,1,1,1,1
28251,1,1,1,X
96656,1,1,1,1
5729,1,1,1,1
28310,1,1,1,1
35743,1,1,1,-1
96857,1,1,1,1
96714,X,X,X,
23768,1,1,1,1
23706,1,1,1,1
96741,1,1,1,1
997,1,1,1,1
23788,1,1,1,1
96957,-1,-1,-1,-1
97968,0,-1,0,-1
1431,-1,1,1,1
96978,-1,-1,-1,-1
39721,-1,-1,-1,-1
23816,-1,1,1,X
28393,-1,-1,-1,-1
28297,-1,-1,-1,1
33775,-1,-1,-1,X
988,-1,-1,-1,1
4393,-1,-1,-1,
28314,1,X,1,1
37324,1,1,1,-1
4432,1,1,1,1
96739,1,1,1,1
96812,1,1,1,1
1906,1,1,1,1
28155,1,1,1,1
23868,1,1,1,1
96864,1,1,0,X
1129,X,X,X,1
96907,X,X,-1,0
28182,1,1,1,1
28513,X,X,X,X
96796,1,1,1,1
4542,-1,-1,-1,X
1917,1,1,1,X
1928,-1,1,-1,-1
28124,X,X,X,-1
28474,-1,1,1,
33982,1,-1,-1,1
96903,-1,-1,-1,1
4335,1,1,1,1
97229,1,1,1,1
1934,1,1,1,1
28162,X,X,X,
22097,1,1,1,1
38595,1,1,1,
1407,X,X,X,X
4466,1,1,1,
28134,X,X,X,
4525,-1,-1,-1,X
23712,-1,-1,-1,X
4246,1,1,1,1
29074,-1,X,1,X
28229,1,1,1,-1
23821,-1,X,X,X
28167,-1,-1,-1,-1
28362,-1,-1,-1,-1
4342,-1,-1,-1,-1
97058,1,1,1,-1
28242,1,1,1,-1
28233,1,1,1,1
28340,1,1,1,1
96672,1,1,1,1
1911,1,1,1,X
2295,1,1,1,X
28342,1,1,1,1
96650,1,1,1,
118860,,,,1
97024,,,,
108570,,,,1
113959,,,,1
113892,,,,1
111033,,,,1
96877,,,,
72776,,,,
116823,,,,1
1759,,,,
97002,,,,
113883,,,,X
112014,,,,-1
96947,,,,1
118709,,,,1
113891,,,,1
118710,,,,1
96893,,,,
116816,,,,-1
111126,,,,1
111823,,,,1
113597,,,,1
1202,,,,1
112788,,,,-1
97195,,,,
111496,,,,X
112071,,,,X
2315,,,,1
107973,1,1,1,1
110984,,,,1
109337,,,,-1
97129,X,X,X,
118708,,,,X
117477,,,,1
107977,1,1,1,X
118999,,,,1
111017,,,,1
39321,,,,1
96983,,,,
109649,,,,1
96830,,,,
2054,,,,
37448,,,,-1
28176,,,,
96669,,,,
119875,,,,1
97078,,,,
110365,,,,0
96667,,,,
28576,,,,
23781,,,,
4524,,,,
37524,,,,1
111027,,,,-1
39916,,,,0
111011,,,,X
118859,,,,-1
120478,,,,1
24942,,,,
118858,,,,1
114873,,,,1
5537,,,,X
111024,,,,1
30482,,,,1
111019,,,,-1
28583,,,,
116663,,,,-1
97006,,,,
118144,,,,1
97010,,,,
108080,-1,-1,-1,1
96879,,,,
111068,,,,1
112611,,,,X
28133,,,,
111018,,,,-1
33991,,,,-1
96666,,,,
114840,,,,1
97294,,,,
113487,,,,1
111026,,,,1
96766,,,,
112620,,,,X
96727,,,,
114279,,,,1
114268,,,,X
110987,,,,X
115868,,,,1
30475,,,,X
111014,,,,1
117119,,,,1
108329,,,,1
113890,,,,X
103246,,,,1
111589,,,,1
