v_dbid,2039,2041,2043,5428
96850,-1,-1,-1,
96897,X,X,X,-1
28367,-1,-1,-1,
96736,1,1,1,1
97086,1,1,1,1
96750,1,1,1,X
96992,-1,-1,-1,1
28246,1,1,1,-1
96976,-1,1,1,1
96986,1,1,1,1
96954,-1,-1,-1,-1
28276,-1,-1,-1,-1
1941,-1,-1,-1,1
99419,1,1,1,1
97193,X,X,X,-1
96702,-1,-1,1,1
28422,-1,-1,-1,X
96808,-1,-1,-1,-1
28137,1,1,1,
97228,1,0,0,X
97009,1,1,1,1
28132,-1,-1,-1,-1
4537,-1,-1,-1,X
23938,1,1,1,1
96862,-1,-1,-1,1
28161,1,1,1,X
28292,1,1,1,1
28114,1,1,1,1
4319,-1,-1,-1,-1
96659,-1,1,1,
96791,-1,-1,-1,1
23819,-1,1,1,1
28170,-1,-1,-1,-1
36281,X,X,X,1
28619,1,1,1,1
96719,-1,-1,-1,X
97293,1,1,1,-1
23813,-1,-1,-1,-1
96680,1,1,1,X
96757,-1,-1,-1,-1
96997,-1,-1,-1,1
96979,1,1,1,X
21818,-1,-1,-1,X
5956,-1,-1,-1,0
28497,X,X,X,0
23866,-1,-1,-1,-1
96738,1,1,1,1
1037,-1,-1,-1,X
96814,-1,-1,-1,1
28354,-1,-1,-1,-1
96955,1,1,1,-1
96846,X,X,X,
107041,X,X,X,-1
4507,1,1,1,1
28257,-1,-1,-1,0
96732,X,X,X,1
28214,1,1,1,1
1985,X,X,X,X
4746,-1,-1,-1,X
97156,1,1,1,X
28174,1,1,1,1
96699,1,1,1,1
96922,1,1,1,-1
38610,1,1,0,X
96681,1,1,1,X
39711,1,1,1,1
39722,-1,-1,-1,1
21817,1,1,1,1
96916,1,1,1,1
96799,-1,-1,-1,1
105624,-1,-1,-1,1
96744,1,1,1,1
33570,1,1,1,-1
28171,1,1,1,1
4540,-1,-1,-1,X
96662,1,1,1,
28463,1,1,1,
1263,-1,-1,-1,-1
96749,1,1,1,1
96716,1,1,1,1
38420,1,1,1,
96798,-1,-1,-1,X
4267,1,1,1,1
28269,X,X,X,1
28324,-1,-1,-1,-1
96849,-1,-1,-1,1
4536,-1,-1,-1,-1
96912,-1,-1,-1,-1
96733,-1,-1,-1,X
96711,1,1,1,
28311,-1,1,1,1
96866,0,1,1,1
96867,-1,-1,-1,0
28122,-1,-1,-1,1
4532,X,X,X,-1
28219,-1,-1,-1,-1
28148,1,1,1,1
28206,-1,0,0,0
4337,1,1,1,X
28243,1,1,1,1
2097,-1,-1,-1,-1
96603,1,1,1,-1
26851,1,1,1,1
28154,1,1,1,1
24030,1,X,-1,0
28493,-1,X,-1,0
1892,-1,-1,1,0
96915,1,1,1,1
94283,X,X,X,X
96775,-1,-1,-1,0
96674,-1,-1,-1,1
96975,1,1,1,1
96987,1,1,1,1
96917,-1,1,1,1
96880,X,X,X,X
28238,1,1,1,1
33997,1,1,1,X
96873,1,1,1,-1
96886,0,0,0,
2109,X,X,X,1
96856,1,1,1,-1
96786,1,1,1,1
28372,1,1,1,-1
97125,1,1,1,1
99325,-1,1,1,1
96747,-1,-1,-1,1
97296,-1,-1,-1,1
96958,-1,-1,-1,X
72775,-1,-1,-1,X
96973,-1,-1,-1,-1
4554,1,1,1,-1
4318,X,X,X,X
28397,-1,-1,-1,-1
95281,1,1,1,-1
96887,1,1,1,1
96891,-1,1,1,X
96748,1,1,1,X
38398,-1,-1,-1,-1
1746,1,1,-1,X
1289,1,1,1,
4347,-1,-1,-1,1
2212,X,X,X,X
28228,-1,-1,-1,-1
28256,-1,-1,-1,X
28390,-1,-1,-1,X
96868,1,1,1,1
96914,1,1,1,1
96826,-1,1,1,1
4556,-1,-1,-1,X
96951,-1,1,1,-1
96888,1,1,1,1
96692,1,1,1,-1
96787,1,1,-1,-1
96717,1,1,1,1
4514,1,1,1,-1
96639,1,1,1,1
28226,X,X,X,-1
39769,1,1,1,1
96725,1,1,1,1
28127,1,1,1,
25718,1,1,1,1
1419,-1,-1,-1,X
96859,1,1,1,1
96676,1,1,1,1
96852,1,1,1,X
96842,1,1,1,1
96682,1,1,1,1
96811,-1,-1,-1,-1
4550,X,X,X,1
23695,-1,-1,-1,-1
96911,1,1,1,1
23840,X,X,X,1
4265,1,1,1,1
96977,-1,-1,-1,-1
96899,-1,-1,-1,-1
28308,-1,1,1,1
96706,1,1,1,1
96810,-1,-1,-1,1
96729,-1,-1,-1,-1
28126,-1,-1,-1,-1
4385,1,1,1,X
96840,1,1,1,1
1038,-1,-1,-1,X
96993,1,1,1,1
96949,-1,-1,-1,-1
4553,-1,-1,-1,X
1993,-1,-1,-1,-1
96908,-1,-1,-1,X
2341,-1,-1,-1,-1
2125,1,1,1,-1
96896,-1,-1,-1,X
28298,-1,1,1,1
1992,X,X,X,
96991,1,1,1,1
58758,1,1,1,1
4562,-1,-1,-1,X
1665,-1,-1,-1,X
28193,-1,-1,-1,-1
28150,-1,1,-1,1
102886,-1,-1,-1,X
96832,1,1,1,1
1913,1,1,1,1
96833,1,1,1,1
96940,1,1,1,-1
28377,1,1,1,1
96730,1,1,1,1
28379,1,1,1,1
96956,-1,-1,-1,-1
1902,X,X,X,1
28145,-1,1,1,X
97004,1,1,1,-1
4429,-1,-1,-1,-1
840,1,1,1,1
1164,1,1,0,1
28306,1,1,1,X
97137,1,1,1,1
28220,1,-1,-1,-1
96790,X,X,X,-1
28123,1,1,1,
96953,X,X,X,
96745,1,1,1,X
28208,1,1,1,1
96751,1,1,1,1
34728,1,1,1,1
2247,1,-1,-1,1
2025,-1,-1,-1,1
23785,-1,-1,-1,1
96892,-1,1,1,1
96768,X,X,X,X
96952,1,1,1,1
23805,1,1,1,1
103488,X,X,X,X
4326,-1,-1,-1,X
96683,1,1,1,
28477,1,1,1,1
28275,-1,-1,-1,1
96707,-1,1,1,1
4555,-1,-1,-1,-1
4538,-1,-1,-1,-1
28116,1,1,1,1
103132,0,-1,-1,1
28321,1,1,1,1
1914,1,1,1,1
96758,1,1,1,1
96851,1,1,1,X
96752,1,1,1,X
28215,0,1,1,X
96779,-1,-1,-1,1
28131,1,1,1,1
4516,-1,-1,-1,-1
22418,-1,-1,-1,-1
96753,-1,-1,-1,1
28117,-1,-1,-1,-1
96872,1,1,1,X
96950,X,X,X,X
96881,1,1,1,
96780,1,1,1,0
5846,1,1,1,-1
5565,X,X,X,1
2073,1,1,1,X
2338,1,1,1,X
34249,1,1,1,-1
96818,-1,-1,-1,X
28125,X,X,X,-1
34235,1,1,1,1
96693,X,1,1,1
28266,1,1,1,-1
38605,1,1,1,1
97130,1,1,1,0
105192,1,1,1,1
28398,-1,-1,-1,X
96834,0,-1,-1,
96684,1,1,1,1
96740,1,1,1,1
96772,-1,-1,-1,-1
96781,X,X,X,1
28141,-1,1,1,X
28156,1,1,1,
96782,-1,-1,-1,1
4271,1,1,1,-1
4440,1,1,1,-1
96806,-1,-1,-1,-1
96883,1,1,1,1
28291,-1,-1,-1,1
96708,1,1,1,
96884,-1,-1,-1,0
23691,1,1,1,-1
28280,-1,-1,-1,1
97014,1,1,1,1
96807,1,X,1,1
96771,-1,-1,-1,-1
96934,1,1,-1,-1
33569,-1,-1,-1,-1
23792,1,-1,1,-1
96837,1,1,1,1
28481,X,X,X,-1
25919,1,1,1,X
38613,1,1,1,-1
96829,-1,1,1,1
96882,1,1,1,1
96734,1,1,1,1
96668,-1,-1,-1,-1
96737,X,X,X,1
34231,1,1,1,1
1929,-1,-1,-1,-1
23413,1,1,1,X
28244,1,1,1,X
96769,1,1,1,X
96704,-1,-1,-1,-1
1852,1,-1,-1,-1
28241,1,1,1,X
28331,1,1,1,X
96785,X,X,X,
39319,1,1,1,1
4260,-1,1,-1,1
97011,-1,1,1,1
102887,1,1,1,1
96793,1,-1,1,-1
101954,-1,-1,-1,1
23873,1,1,1,0
28247,1,1,1,-1
4482,-1,1,1,1
1854,1,1,1,1
1935,1,1,1,1
96767,X,X,-1,-1
96651,-1,-1,-1,-1
96795,1,-1,1,1
96816,-1,-1,-1,X
1204,-1,-1,-1,X
4531,1,1,1,1
96648,1,1,1,1
1909,1,1,1,1
28399,X,X,X,-1
96854,1,1,1,1
96675,1,1,1,1
96709,1,1,1,-1
105849,-1,-1,-1,X
101580,-1,-1,-1,1
1023,1,1,0,X
28210,1,1,0,1
4283,1,1,-1,
2224,-1,-1,-1,-1
4262,1,1,1,1
97076,1,1,1,1
1927,-1,-1,-1,X
96788,1,-1,1,-1
96728,1,1,1,1
96765,-1,-1,-1,-1
4529,1,1,1,1
96673,1,1,1,1
96823,-1,-1,-1,1
1186,-1,-1,-1,-1
97017,1,1,1,1
4541,1,1,1,
96959,1,1,1,-1
23704,X,X,X,1
28192,1,1,1,1
96824,-1,-1,1,X
96904,0,-1,-1,
4560,1,1,1,0
1922,0,-1,-1,-1
96685,1,1,1,X
96792,-1,-1,-1,1
4346,1,1,1,1
1403,1,1,1,1
4238,1,1,1,1
28338,1,1,1,1
4462,-1,-1,-1,X
96813,-1,-1,-1,-1
4412,-1,-1,-1,1
96820,1,1,1,1
96936,-1,-1,-1,-1
95017,-1,-1,-1,-1
96906,1,1,1,
4275,-1,-1,-1,-1
96817,-1,-1,-1,X
96742,0,1,1,X
1873,X,X,X,
96652,-1,-1,-1,-1
28255,1,1,0,1
39717,-1,1,1,
2327,X,X,X,1
2173,1,1,1,X
96919,-1,-1,-1,-1
28115,X,X,X,-1
96870,X,X,X,-1
4348,1,1,1,1
96910,1,1,1,1
96663,1,-1,1,1
28407,X,X,X,1
96670,1,1,1,-1
96800,1,1,1,1
28178,-1,-1,-1,-1
97020,1,1,1,1
28400,-1,-1,-1,-1
96999,1,1,1,1
4519,1,1,1,1
96930,0,0,0,0
97280,1,1,1,0
38596,-1,-1,-1,1
96695,1,1,1,1
96661,X,X,X,1
96760,0,1,1,X
96701,1,1,1,1
1965,1,1,1,-1
97344,1,1,1,1
1073,0,-1,-1,-1
28506,X,X,X,0
96848,0,0,-1,0
96844,1,1,1,1
96653,1,1,1,1
1394,1,1,1,-1
96861,1,1,-1,-1
1946,1,1,1,1
1318,X,-1,-1,-1
96825,1,1,1,-1
39714,X,X,X,-1
4289,1,1,1,0
96794,-1,-1,-1,1
96805,-1,X,-1,X
96981,1,1,0,1
4328,1,1,1,1
97230,1,1,1,1
28288,-1,-1,-1,1
96783,1,X,1,1
1122,-1,-1,-1,-1
23705,-1,-1,-1,X
26829,1,1,1,1
33984,1,1,1,1
96654,1,1,1,1
1191,-1,-1,-1,1
97025,1,1,1,1
96694,1,1,1,1
97007,1,1,1,1
97197,-1,-1,-1,X
38602,1,1,1,-1
28365,1,1,1,1
97050,1,1,1,X
96900,-1,1,1,-1
28572,-1,1,1,X
96948,X,X,X,X
96902,-1,-1,-1,-1
36392,-1,-1,-1,X
4270,1,1,1,-1
1253,-1,-1,-1,-1
28166,1,1,1,
96989,1,1,1,1
