v_dbid,3485,3301,5327,2171,2691,5579,5297
113597,1,1,1,,,X,-1
1202,X,1,1,,1,1,-1
112788,X,1,-1,,-1,X,1
97195,,,,,,,
111496,-1,1,-1,,-1,X,1
112071,1,1,1,,1,1,-1
2315,1,1,1,,,1,-1
107973,X,1,1,1,X,1,-1
110984,1,1,-1,,1,1,1
109337,1,1,1,1,1,1,-1
97129,,,,,,,
118708,,,1,,,X,1
117477,,,1,,,1,-1
107977,1,1,X,1,1,X,X
118999,,,1,,,1,0
111017,X,1,1,,1,1,X
39321,1,1,1,,X,X,-1
96983,,,,,,,
109649,X,X,1,X,1,X,-1
96830,,,,,,,
2054,,,,,,,
37448,,,1,,,1,X
28176,,,,,,,
96669,,,,,,,
119875,,,1,,,1,-1
97078,,,,,,,
110365,1,1,1,,1,1,-1
96667,,,,,,,
28576,,,,,,,
23781,,,,,,,
4524,,,,,,,
37524,,,1,,,1,-1
111027,-1,1,-1,,-1,0,1
39916,-1,1,-1,,-1,1,1
111011,-1,0,-1,,1,0,1
118859,,,-1,,,1,1
120478,,,1,,,1,-1
24942,X,1,,,1,,
118858,,,-1,,,1,-1
114873,1,1,X,,,1,-1
5537,-1,1,-1,,X,X,1
111024,1,X,1,,1,1,-1
30482,X,1,1,,1,1,-1
111019,X,1,-1,,-1,1,X
28583,,,,,,,
116663,-1,,-1,,,0,1
97006,,,,,,,
118144,,,X,,,1,0
97010,,,,,,,
108080,-1,1,1,1,X,-1,1
96879,,,,,,,
111068,X,1,-1,,1,-1,1
112611,1,-1,1,,1,1,1
28133,,,,,,,
111018,1,X,-1,,-1,1,1
33991,,,1,,,1,-1
96666,,,,,,,
114840,X,X,1,,,1,-1
97294,,,,,,,
113487,1,1,1,,,1,-1
111026,-1,X,-1,,X,-1,1
96766,,,,,,,
112620,1,1,1,,1,1,-1
96727,,,,,,,
114279,1,1,1,,,1,-1
114268,1,X,1,,,1,-1
110987,X,1,-1,,X,-1,1
115868,-1,-1,-1,,,X,1
30475,1,,X,,,X,X
111014,1,1,1,,1,1,-1
117119,,,X,,,X,X
108329,1,1,1,1,1,1,-1
113890,1,1,1,,,X,-1
103246,-1,-1,-1,0,-1,0,1
111589,0,X,X,,1,1,-1
