v_dbid,3485,3301,5327,2171,2691,5579,5297
96732,1,1,1,1,1,1,-1
28214,X,1,1,X,X,1,0
1985,1,1,1,1,1,1,-1
4746,-1,1,-1,X,-1,-1,1
97156,1,1,X,1,1,X,X
28174,1,1,-1,1,1,1,-1
96699,1,1,1,X,1,1,-1
96922,1,1,1,1,1,1,-1
38610,X,X,1,X,0,1,0
96681,1,X,1,1,X,X,-1
39711,X,1,1,X,1,X,-1
39722,-1,1,-1,-1,-1,-1,1
21817,-1,0,1,-1,-1,-1,1
96916,1,1,X,1,X,X,X
96799,-1,1,-1,X,-1,-1,1
105624,0,1,1,1,-1,-1,1
96744,1,1,1,1,X,1,-1
33570,X,1,1,1,X,1,-1
28171,1,1,1,1,1,1,-1
4540,X,X,0,X,X,0,1
96662,1,X,,1,1,,
28463,X,1,,1,1,,
1263,-1,1,1,1,X,-1,X
96749,-1,-1,0,-1,-1,-1,1
96716,1,1,1,1,1,1,-1
38420,1,1,,1,X,,
96798,-1,-1,X,0,-1,X,X
4267,1,1,X,1,1,1,-1
28269,-1,1,-1,X,-1,X,1
28324,0,X,-1,1,1,0,X
96849,-1,1,1,1,1,-1,1
4536,-1,0,0,X,1,0,1
96912,-1,0,-1,1,0,0,1
96733,-1,1,-1,-1,-1,-1,1
96711,,,,1,1,,
28311,1,1,1,1,1,1,-1
96866,1,1,1,1,1,1,-1
96867,X,1,-1,1,-1,1,1
28122,X,1,-1,1,1,X,1
4532,1,X,1,X,1,1,1
28219,-1,1,-1,-1,-1,-1,1
28148,1,1,1,1,X,1,-1
28206,1,X,-1,1,-1,1,0
4337,1,1,1,1,1,1,-1
28243,X,1,1,1,1,X,-1
2097,X,0,1,X,1,X,X
96603,1,1,1,1,1,1,-1
26851,1,0,1,1,1,1,-1
28154,1,X,1,1,1,1,-1
24030,-1,-1,-1,-1,0,-1,1
28493,X,-1,0,X,-1,0,0
1892,X,1,-1,1,1,1,1
96915,1,1,1,1,1,1,-1
94283,X,-1,0,X,X,0,0
96775,-1,X,-1,-1,-1,X,1
96674,X,1,-1,1,1,1,X
96975,1,1,1,1,1,1,-1
96987,1,1,1,1,X,1,-1
96917,0,1,1,0,1,1,0
96880,1,1,1,1,X,X,-1
28238,1,1,1,X,1,1,-1
33997,1,1,1,X,1,X,-1
96873,1,1,1,1,X,1,-1
96886,,X,,X,1,,
2109,X,1,-1,X,X,1,1
96856,1,1,1,X,1,X,0
96786,-1,0,-1,X,1,-1,1
28372,-1,X,X,X,X,-1,1
97125,1,1,1,1,1,1,-1
99325,1,1,1,1,1,1,-1
96747,-1,1,1,1,1,0,1
97296,-1,1,-1,1,1,-1,X
96958,X,X,X,X,-1,0,0
72775,-1,1,-1,1,1,-1,1
96973,X,1,-1,X,-1,X,1
4554,X,1,1,1,1,1,-1
4318,X,X,1,X,1,1,X
28397,X,1,X,1,-1,1,1
95281,1,1,1,X,1,X,-1
96887,1,1,1,1,1,1,-1
96891,1,1,1,X,1,1,-1
96748,1,0,1,1,1,1,0
38398,0,X,-1,1,X,1,X
1746,X,X,X,-1,-1,0,1
1289,,,,1,,,
4347,X,X,-1,X,1,X,1
