v_dbid,3358,3361,4787,4788,4792,5689,5747,5748
96850,,,,,,,,
96897,-1,0,-1,-1,-1,-1,-1,-1
28367,-1,1,,,,,,
96736,1,1,1,1,1,1,1,1
97086,X,X,-1,-1,1,X,X,X
96750,1,1,1,1,1,1,1,X
96992,1,0,X,X,X,-1,1,-1
28246,-1,1,X,X,X,-1,1,1
96976,1,1,1,1,1,0,1,1
96986,1,1,X,1,1,1,1,1
96954,-1,0,-1,-1,-1,-1,-1,-1
28276,0,1,1,-1,-1,X,1,-1
1941,-1,1,1,-1,1,-1,1,-1
99419,0,-1,1,1,1,1,0,0
97193,-1,1,X,X,X,X,X,X
96702,0,0,1,1,1,0,1,1
28422,-1,1,1,-1,-1,X,X,X
96808,-1,1,1,-1,-1,-1,1,X
28137,,,,,,,,
97228,X,1,X,X,X,1,1,1
97009,1,1,1,1,1,1,1,1
28132,-1,-1,-1,-1,-1,-1,-1,-1
4537,-1,-1,X,X,X,-1,-1,-1
23938,1,1,0,0,0,X,X,X
96862,-1,1,1,-1,-1,-1,1,-1
28161,1,1,1,1,1,1,1,1
28292,1,X,X,X,X,-1,1,1
28114,1,1,1,1,1,1,1,1
4319,-1,1,1,-1,-1,-1,1,-1
96659,,,,,,,,
96791,-1,1,1,-1,-1,X,X,X
23819,-1,1,1,-1,-1,-1,1,-1
28170,-1,1,1,-1,-1,-1,1,-1
36281,1,1,X,X,X,1,X,X
28619,1,1,1,1,1,1,1,1
96719,-1,-1,-1,-1,-1,-1,-1,-1
97293,-1,1,1,-1,-1,-1,1,1
23813,-1,1,1,-1,-1,-1,1,-1
96680,1,1,1,1,1,-1,1,1
96757,-1,1,1,-1,-1,-1,1,-1
96997,-1,1,1,1,-1,-1,1,-1
96979,1,1,1,1,1,X,X,X
21818,-1,1,1,-1,-1,-1,1,-1
5956,-1,1,1,-1,-1,-1,1,1
28497,-1,0,-1,-1,-1,X,X,X
23866,-1,1,1,1,-1,-1,1,-1
96738,1,1,1,1,1,1,1,1
1037,-1,1,1,-1,-1,-1,1,1
96814,-1,1,X,X,X,-1,1,-1
28354,-1,1,1,-1,-1,-1,-1,-1
96955,1,1,X,X,X,1,1,1
96846,X,X,,,,,,
107041,1,1,1,1,-1,-1,1,1
4507,-1,1,1,1,0,0,1,1
28257,-1,1,1,1,1,-1,1,1
96732,1,1,1,-1,1,X,X,X
28214,1,1,1,1,1,1,1,1
1985,1,1,1,1,1,1,1,1
4746,-1,1,1,-1,-1,-1,1,-1
97156,1,1,X,X,X,X,X,X
28174,1,1,1,1,1,1,1,1
96699,1,1,1,1,1,1,1,1
96922,1,1,-1,-1,1,1,1,1
38610,-1,-1,X,X,X,0,X,X
96681,1,1,1,1,1,X,X,X
39711,1,1,1,1,1,1,1,1
39722,-1,1,1,-1,-1,-1,1,-1
21817,-1,0,X,X,X,-1,1,-1
96916,1,1,X,X,X,X,X,X
96799,-1,1,1,-1,-1,-1,X,-1
105624,-1,1,1,1,1,-1,1,-1
96744,1,1,1,1,1,1,1,1
33570,-1,1,-1,-1,1,-1,1,0
28171,1,1,1,1,1,1,1,1
4540,-1,-1,X,X,X,-1,-1,-1
96662,1,1,1,1,1,,,
28463,0,1,,,,,,
1263,X,X,1,-1,-1,-1,1,-1
96749,-1,-1,-1,X,1,-1,-1,1
96716,1,1,1,1,1,1,1,1
38420,1,1,,,,,,
96798,-1,0,-1,-1,-1,X,X,X
4267,1,1,1,1,1,1,1,1
28269,-1,X,1,-1,-1,-1,-1,-1
28324,-1,-1,X,X,X,-1,-1,-1
96849,-1,1,1,-1,-1,-1,1,-1
4536,-1,-1,-1,-1,-1,-1,-1,-1
96912,-1,-1,-1,-1,-1,-1,-1,-1
96733,-1,1,1,-1,-1,-1,X,X
96711,,,,,,,,
28311,0,1,1,1,1,1,1,1
96866,1,1,1,1,1,1,1,1
96867,-1,1,1,-1,-1,-1,1,1
28122,X,X,0,-1,-1,X,X,X
