v_dbid,3358,3361,4787,4788,4792,5689,5747,5748
4532,1,1,1,1,1,1,1,1
28219,-1,1,1,-1,-1,-1,1,-1
28148,1,1,X,X,X,1,1,1
28206,X,X,1,-1,-1,-1,1,-1
4337,1,1,1,1,1,1,1,1
28243,0,1,X,1,1,X,X,X
2097,-1,-1,-1,-1,-1,X,X,X
96603,1,1,1,1,1,1,1,1
26851,1,-1,1,1,1,0,1,1
28154,1,1,X,X,X,0,1,1
24030,-1,0,1,-1,-1,-1,0,1
28493,-1,0,X,X,X,-1,-1,-1
1892,-1,1,1,-1,-1,0,1,1
96915,-1,1,1,1,1,1,1,1
94283,-1,-1,0,0,0,0,-1,-1
96775,-1,1,1,-1,-1,X,X,X
96674,-1,1,1,-1,1,-1,1,-1
96975,-1,1,1,1,1,-1,1,1
96987,1,1,1,1,1,1,1,1
96917,1,1,1,1,1,-1,1,1
96880,1,1,1,1,1,-1,1,1
28238,1,1,1,1,1,1,1,1
33997,1,1,1,1,1,1,1,1
96873,-1,1,-1,-1,1,-1,-1,X
96886,X,X,,,,,,
2109,X,X,1,X,1,1,1,1
96856,1,1,1,1,1,1,1,1
96786,-1,-1,-1,-1,-1,X,X,X
28372,-1,1,-1,-1,-1,-1,-1,-1
97125,X,1,1,1,1,1,1,1
99325,1,1,1,1,1,1,1,1
96747,-1,1,1,-1,-1,-1,1,-1
97296,-1,1,1,-1,-1,-1,1,-1
96958,X,X,-1,-1,-1,-1,-1,-1
72775,-1,1,1,-1,-1,-1,1,-1
96973,-1,1,X,X,X,-1,1,-1
4554,-1,1,-1,-1,1,-1,1,0
4318,X,X,X,X,X,X,X,X
28397,-1,X,1,-1,-1,-1,1,-1
95281,X,X,1,1,1,1,1,1
96887,0,1,1,1,1,1,1,1
96891,1,1,1,1,1,X,1,1
96748,1,-1,1,1,1,1,1,1
38398,X,X,1,1,1,-1,1,1
1746,-1,1,X,X,X,X,X,X
1289,,,,,,,,
4347,-1,1,1,-1,-1,1,1,-1
2212,-1,-1,1,1,1,-1,0,0
28228,-1,1,1,-1,1,-1,1,-1
28256,X,X,1,-1,1,X,X,X
28390,-1,1,1,-1,-1,-1,1,-1
96868,1,1,1,1,1,1,1,1
96914,1,1,1,1,-1,-1,1,1
96826,-1,1,X,X,X,X,X,X
4556,X,X,-1,-1,-1,-1,-1,-1
96951,-1,-1,-1,-1,-1,-1,-1,-1
96888,1,1,1,1,1,1,1,1
96692,-1,1,1,1,1,-1,1,1
96787,-1,1,1,-1,-1,-1,1,-1
96717,1,1,1,1,1,1,1,1
4514,-1,1,-1,-1,1,-1,1,1
96639,1,1,1,1,1,1,X,1
28226,-1,1,1,-1,-1,-1,1,-1
39769,1,1,1,1,1,1,1,1
96725,1,1,1,1,1,1,1,1
28127,,,,,,,,
25718,1,1,1,1,1,1,1,1
1419,-1,-1,-1,-1,-1,-1,-1,1
96859,1,1,1,1,1,1,1,1
96676,1,1,1,1,1,1,1,1
96852,1,-1,1,1,1,1,1,1
96842,1,1,1,1,1,1,1,1
96682,-1,1,1,1,1,X,X,X
96811,-1,1,1,-1,-1,-1,1,-1
4550,1,1,1,1,1,1,1,1
23695,-1,-1,-1,-1,-1,-1,-1,-1
96911,1,1,1,1,1,1,1,1
23840,0,1,1,1,1,1,1,1
4265,1,1,1,1,1,1,1,1
96977,-1,1,1,-1,-1,-1,1,1
96899,-1,1,1,-1,-1,-1,1,1
28308,1,1,1,1,1,X,X,X
96706,1,-1,1,1,1,X,1,1
96810,-1,1,1,-1,-1,-1,1,-1
96729,X,X,1,-1,-1,-1,1,-1
28126,-1,1,X,X,X,-1,1,-1
4385,1,1,1,1,1,1,1,1
96840,1,1,X,1,1,1,1,1
1038,-1,1,X,X,X,-1,1,1
96993,1,0,-1,-1,-1,-1,1,-1
96949,-1,-1,-1,-1,-1,-1,-1,-1
4553,-1,-1,-1,-1,-1,-1,-1,-1
1993,-1,1,X,X,X,-1,1,-1
96908,X,X,X,X,X,-1,1,-1
2341,-1,1,1,-1,-1,-1,1,-1
2125,1,1,X,X,X,1,1,X
96896,-1,1,1,-1,-1,-1,1,-1
28298,1,1,1,1,1,1,1,1
1992,,,,,,,,
96991,1,1,1,1,1,0,1,1
58758,-1,1,1,-1,-1,-1,1,-1
4562,X,X,1,-1,-1,X,X,X
1665,-1,1,X,X,X,-1,1,1
28193,-1,1,1,-1,-1,X,X,X
28150,-1,1,1,-1,-1,-1,1,-1
102886,-1,1,1,-1,-1,-1,1,-1
96832,-1,1,1,1,1,1,1,X
1913,1,1,1,1,1,1,1,1
96833,1,1,1,1,1,-1,1,1
96940,X,X,1,1,1,-1,1,1
28377,-1,1,1,-1,-1,-1,-1,-1
96730,1,1,1,1,1,1,1,1
28379,-1,1,1,-1,-1,-1,-1,-1
96956,-1,-1,-1,-1,-1,-1,-1,X
1902,1,1,1,1,1,-1,X,X
28145,-1,1,1,-1,-1,-1,1,-1
97004,-1,1,X,X,X,-1,0,0
4429,-1,1,1,-1,-1,-1,-1,-1
840,0,1,-1,-1,1,1,1,X
1164,X,0,1,1,1,-1,0,1
28306,1,1,1,1,1,1,1,1
97137,1,0,X,X,X,-1,1,1
28220,-1,1,1,-1,-1,-1,1,1
96790,-1,-1,-1,-1,-1,-1,-1,-1
28123,1,1,,,,,,
96953,,,,,,,,
96745,1,1,1,1,1,1,1,1
28208,1,1,1,1,1,1,1,1
96751,1,1,X,X,X,1,-1,1
34728,1,1,1,1,1,-1,1,1
2247,-1,1,1,1,1,-1,1,1
2025,-1,1,1,-1,-1,-1,1,-1
23785,-1,1,1,-1,-1,-1,-1,-1
96892,1,1,1,1,1,1,1,X
96768,1,1,1,1,1,1,1,1
96952,1,1,1,1,1,1,1,X
23805,1,1,1,1,1,1,1,1
103488,1,1,1,1,1,1,1,1
4326,-1,1,1,-1,-1,-1,1,-1
96683,,,,,,,,
28477,-1,1,-1,-1,1,1,1,1
28275,-1,1,1,-1,-1,-1,-1,-1
96707,-1,1,1,-1,-1,X,X,X
4555,-1,-1,-1,-1,-1,-1,-1,-1
4538,-1,-1,-1,-1,-1,-1,-1,-1
28116,1,1,1,1,1,1,1,1
103132,-1,-1,-1,-1,-1,-1,-1,-1
28321,1,1,1,1,1,1,1,1
1914,1,1,1,1,1,1,1,1
96758,1,1,1,1,1,1,1,1
96851,1,-1,1,1,1,1,1,1
96752,1,1,1,1,1,1,1,1
28215,0,1,1,1,1,X,X,X
96779,-1,1,1,-1,-1,-1,-1,-1
28131,1,1,1,1,1,1,1,1
4516,-1,0,-1,-1,-1,-1,-1,-1
22418,-1,1,X,X,X,-1,1,-1
96753,-1,1,1,-1,-1,-1,-1,-1
28117,-1,1,-1,1,-1,0,1,1
96872,1,0,X,X,X,-1,1,1
96950,1,1,1,1,1,1,1,X
96881,,,,,,,,
96780,-1,1,1,-1,1,-1,1,-1
5846,1,1,1,1,1,-1,1,1
5565,-1,1,1,-1,-1,-1,1,-1
2073,1,0,1,1,1,X,1,1
2338,-1,0,1,1,1,X,X,X
34249,-1,1,-1,-1,1,1,1,1
96818,-1,1,1,-1,-1,-1,1,-1
28125,-1,1,1,-1,1,-1,1,1
34235,-1,1,-1,-1,1,1,1,1
96693,0,1,1,1,1,1,X,0
28266,-1,1,1,1,1,-1,1,1
38605,1,1,1,1,1,X,X,X
97130,1,1,1,1,1,X,X,X
105192,1,1,1,1,1,1,1,1
28398,-1,X,1,-1,-1,-1,1,-1
96834,-1,1,,,,,,
96684,X,1,1,1,X,1,1,1
96740,1,1,1,1,1,1,1,1
96772,-1,1,1,-1,-1,-1,1,-1
96781,-1,1,1,X,-1,-1,-1,-1
28141,-1,1,1,-1,-1,-1,1,-1
28156,1,1,X,X,X,,,
96782,-1,1,1,-1,-1,X,X,X
4271,-1,1,1,-1,-1,-1,1,-1
4440,-1,1,-1,-1,1,-1,1,1
96806,-1,1,1,-1,-1,-1,1,-1
96883,1,1,1,X,X,1,1,1
28291,-1,1,1,-1,-1,-1,1,-1
96708,,,,,,,,
96884,-1,1,1,-1,-1,-1,1,-1
23691,1,1,-1,-1,1,1,1,X
28280,-1,1,X,X,X,-1,-1,-1
97014,1,1,1,1,1,1,1,1
96807,1,1,1,X,X,1,X,1
96771,-1,1,1,-1,-1,-1,-1,-1
96934,-1,1,1,-1,-1,-1,1,-1
33569,-1,-1,-1,-1,-1,-1,-1,-1
23792,X,X,1,-1,-1,X,X,X
96837,1,1,1,X,1,-1,1,1
28481,-1,-1,-1,-1,-1,-1,X,X
25919,-1,1,1,-1,-1,X,1,-1
38613,0,1,-1,-1,1,0,1,1
96829,-1,1,1,-1,-1,-1,1,-1
96882,-1,1,1,1,-1,-1,1,1
96734,1,1,1,1,1,X,X,X
96668,-1,1,-1,1,-1,0,1,1
96737,1,1,1,1,1,1,1,1
34231,1,1,X,X,X,1,1,1
1929,-1,1,1,-1,-1,-1,1,-1
23413,1,1,1,1,1,X,X,X
28244,-1,1,-1,-1,1,-1,-1,-1
96769,1,-1,1,1,1,1,1,1
96704,-1,-1,-1,-1,-1,X,X,X
1852,-1,1,1,-1,-1,-1,1,-1
28241,-1,1,X,X,X,-1,X,X
28331,1,-1,1,1,1,1,1,1
96785,-1,0,-1,-1,-1,,,
39319,X,1,1,1,1,1,1,1
4260,-1,1,1,-1,-1,-1,1,-1
97011,-1,1,1,-1,-1,-1,1,-1
102887,X,X,X,X,X,1,1,1
96793,-1,0,-1,-1,-1,-1,-1,-1
101954,-1,1,1,-1,-1,-1,-1,-1
23873,-1,X,-1,-1,1,X,X,X
28247,-1,1,-1,-1,1,-1,-1,-1
4482,-1,1,1,-1,-1,-1,1,1
1854,0,1,1,1,1,1,-1,1
1935,X,X,X,X,X,1,1,1
96767,-1,1,1,-1,-1,-1,1,-1
96651,-1,1,1,-1,-1,-1,1,-1
96795,-1,-1,X,X,X,-1,-1,-1
96816,-1,1,1,-1,-1,-1,1,-1
1204,-1,1,1,-1,-1,-1,1,-1
4531,1,1,1,1,1,1,1,1
96648,1,1,1,1,1,1,1,1
1909,1,1,1,1,1,-1,1,1
28399,X,1,1,-1,-1,-1,X,-1
96854,1,-1,1,1,1,1,1,1
96675,1,1,1,1,1,1,1,1
96709,-1,1,-1,-1,1,-1,1,1
105849,X,X,1,-1,-1,X,X,X
101580,-1,1,1,-1,-1,-1,1,X
1023,X,X,1,1,1,X,X,X
28210,-1,0,1,1,1,-1,0,X
4283,,,,,,,,
2224,-1,1,1,-1,-1,-1,1,-1
4262,-1,1,1,1,1,0,1,1
97076,1,1,1,1,1,1,1,1
1927,-1,1,X,1,-1,0,1,1
96788,-1,1,1,-1,-1,-1,1,-1
96728,1,1,X,X,X,X,X,X
96765,X,1,X,X,X,-1,1,-1
4529,-1,1,-1,-1,1,-1,1,0
96673,1,1,1,1,1,X,X,X
96823,-1,1,1,-1,-1,-1,1,-1
1186,-1,1,1,-1,-1,-1,1,-1
97017,1,1,1,1,1,1,1,1
4541,,,,,,,,
96959,-1,1,1,-1,0,X,X,X
23704,1,1,X,X,X,1,1,1
28192,X,X,1,1,1,1,1,1
96824,-1,1,1,1,-1,-1,1,-1
96904,,,,,,,,
4560,-1,1,-1,-1,1,0,1,1
1922,-1,1,1,-1,-1,-1,1,-1
96685,-1,1,X,X,X,X,X,X
96792,-1,1,1,-1,-1,-1,-1,-1
4346,1,1,1,1,1,1,1,1
1403,0,1,1,1,1,1,1,1
4238,1,1,1,1,1,1,1,1
28338,X,1,1,1,1,1,1,1
4462,X,X,1,-1,-1,X,X,X
96813,-1,1,1,-1,-1,X,1,-1
4412,-1,1,1,-1,-1,-1,1,-1
96820,1,-1,1,1,1,1,1,1
96936,-1,X,1,-1,-1,-1,1,-1
95017,-1,1,1,1,1,1,1,-1
96906,,,,,,,,
4275,-1,1,1,-1,-1,-1,1,-1
96817,-1,1,1,-1,-1,-1,1,-1
96742,1,-1,1,1,1,1,1,1
1873,,,,,,,,
96652,-1,1,1,-1,-1,-1,1,-1
28255,X,X,1,1,1,-1,0,1
39717,-1,1,,,,,,
2327,0,1,1,1,1,-1,1,1
2173,1,0,X,X,X,1,1,1
96919,-1,-1,-1,-1,-1,-1,-1,-1
28115,-1,1,-1,1,-1,0,1,1
96870,-1,1,-1,-1,1,-1,-1,X
4348,1,1,1,1,1,1,1,1
96910,1,1,1,1,1,1,1,1
96663,X,X,0,-1,-1,0,1,0
28407,1,-1,1,1,1,0,X,1
96670,0,1,-1,-1,1,-1,0,0
96800,-1,0,-1,-1,-1,-1,-1,X
28178,-1,1,1,-1,-1,-1,1,-1
97020,1,1,1,1,1,1,1,1
28400,-1,1,1,-1,-1,-1,1,-1
96999,1,1,1,1,1,X,X,X
4519,1,1,1,1,1,-1,1,1
96930,-1,1,1,1,1,-1,1,1
97280,1,0,-1,-1,-1,-1,1,-1
38596,-1,1,1,-1,-1,-1,1,-1
96695,-1,1,1,1,1,X,X,X
96661,0,1,1,1,1,1,1,1
96760,-1,1,1,-1,-1,X,X,X
96701,1,1,1,1,X,1,1,1
1965,-1,1,-1,-1,1,-1,1,1
97344,1,-1,1,1,1,X,X,X
1073,-1,-1,1,-1,1,1,1,1
28506,-1,-1,-1,-1,-1,-1,X,X
96848,-1,1,1,0,-1,-1,1,-1
96844,1,1,1,1,1,1,1,1
96653,1,1,1,1,X,1,1,1
1394,1,1,-1,-1,1,-1,1,1
96861,-1,1,1,-1,-1,-1,1,-1
1946,-1,1,-1,-1,1,-1,1,1
1318,-1,-1,-1,-1,-1,-1,-1,X
96825,0,1,X,X,X,0,0,0
39714,-1,1,X,X,X,0,1,-1
4289,-1,1,1,-1,1,-1,1,-1
96794,-1,1,1,-1,1,-1,-1,-1
96805,-1,0,-1,-1,-1,-1,-1,-1
96981,1,0,1,1,1,-1,0,0
4328,1,1,1,1,1,1,1,X
97230,-1,1,X,X,X,-1,1,-1
28288,-1,1,1,-1,-1,-1,1,-1
96783,-1,1,1,-1,-1,X,X,X
1122,-1,1,1,1,1,-1,1,1
23705,X,X,X,X,X,-1,-1,X
26829,-1,1,X,X,X,-1,1,1
33984,0,1,X,X,X,-1,X,X
96654,1,1,0,1,1,1,0,1
1191,-1,1,1,-1,-1,-1,1,-1
97025,1,1,1,X,1,-1,1,1
96694,0,0,1,1,1,1,X,0
97007,X,X,1,1,1,X,X,X
97197,-1,1,X,X,X,X,X,X
38602,0,1,1,1,1,0,0,1
28365,0,1,X,1,1,0,1,1
97050,0,1,1,1,1,X,X,X
96900,-1,1,1,-1,-1,X,X,X
28572,-1,1,X,X,X,X,X,X
96948,1,1,1,1,1,1,X,1
96902,-1,1,X,-1,-1,-1,1,1
36392,X,X,1,-1,-1,X,X,X
4270,0,1,1,1,1,-1,1,1
1253,-1,1,1,-1,-1,-1,1,-1
28166,,,,,,,,
96989,1,1,1,1,1,X,X,X
23693,-1,1,1,-1,-1,-1,1,-1
28224,-1,1,1,-1,-1,-1,1,X
40599,1,1,1,1,1,1,-1,1
28341,-1,-1,-1,-1,-1,-1,-1,-1
96890,X,X,1,1,1,X,X,X
2307,-1,1,1,1,-1,-1,1,1
4436,1,1,X,X,X,X,X,X
96715,1,1,1,1,1,1,1,1
39317,X,X,1,1,1,X,X,X
96931,-1,1,X,X,X,X,X,X
96801,-1,-1,-1,-1,-1,-1,-1,-1
28406,,,,,,,,
2229,-1,1,0,-1,-1,-1,1,-1
96658,-1,1,1,-1,-1,-1,1,-1
96838,-1,1,1,-1,-1,-1,1,-1
107386,1,1,1,1,0,1,1,1
28370,1,1,1,1,1,1,1,1
23782,-1,1,1,-1,-1,X,1,-1
1055,-1,1,1,-1,-1,-1,X,X
96925,X,X,1,X,1,1,1,X
2278,-1,1,1,X,-1,-1,1,1
4294,1,1,1,1,1,1,1,1
96998,0,1,1,1,1,1,1,1
96875,-1,1,-1,-1,1,0,0,0
28330,1,0,X,X,X,,,
96686,1,1,1,1,1,1,1,X
28225,-1,1,1,-1,-1,-1,1,-1
28349,1,1,1,1,1,1,1,1
4253,0,1,-1,-1,1,-1,1,1
96885,-1,1,1,-1,-1,-1,1,1
96743,1,1,1,1,1,1,1,1
97199,-1,1,1,-1,-1,-1,1,-1
97022,1,1,-1,1,1,1,1,1
93624,0,1,1,1,1,1,1,1
96710,X,X,X,X,X,-1,1,1
96990,1,1,1,1,1,1,1,1
96819,-1,1,0,-1,-1,-1,1,-1
96664,0,0,X,1,1,1,1,1
97196,-1,1,1,-1,-1,-1,1,-1
1183,1,1,1,1,1,1,1,1
23707,-1,1,1,1,1,0,1,1
96988,1,-1,1,1,1,1,1,1
4345,-1,1,1,-1,-1,-1,1,-1
2002,-1,1,1,-1,-1,-1,1,-1
96889,-1,1,1,-1,-1,X,X,X
99416,-1,0,-1,-1,-1,-1,-1,-1
28404,1,0,1,-1,-1,-1,1,-1
96746,-1,1,1,-1,-1,-1,1,-1
96815,1,1,1,1,1,1,1,1
4423,-1,1,1,-1,-1,X,X,X
96696,-1,1,1,-1,0,X,X,X
97308,-1,1,-1,-1,1,-1,1,1
28295,1,1,1,1,1,1,1,1
33989,-1,1,1,1,1,1,1,X
39724,-1,1,1,1,-1,-1,1,-1
37676,1,-1,1,X,1,,,
96945,-1,1,X,1,1,-1,1,1
37312,1,1,1,1,1,0,1,1
28135,-1,1,1,-1,-1,-1,1,-1
28139,1,1,1,1,1,1,1,1
4274,1,1,1,1,1,-1,1,1
1930,-1,1,1,-1,1,-1,1,1
96827,-1,1,1,-1,-1,-1,-1,1
96646,1,-1,1,1,1,1,1,1
1933,1,1,1,1,1,1,1,1
96731,1,1,1,1,1,1,1,1
28223,-1,1,1,-1,-1,-1,1,-1
96671,1,X,,,,,,
96996,-1,1,X,X,X,-1,1,-1
96843,-1,1,1,-1,-1,-1,1,-1
28252,-1,1,1,1,-1,-1,1,X
96718,1,1,0,0,1,1,1,X
96789,-1,1,1,-1,-1,-1,-1,-1
96865,-1,1,,,,,,
33990,1,1,1,1,X,1,1,1
23787,-1,1,1,-1,-1,X,X,X
96755,-1,1,1,-1,-1,-1,1,1
96836,1,1,1,1,1,1,1,1
1309,1,0,1,1,1,1,1,1
96960,-1,-1,0,0,0,0,-1,-1
96932,X,X,1,X,1,1,1,1
28380,-1,1,1,-1,-1,-1,1,1
2081,-1,1,1,1,1,1,1,1
96770,-1,1,1,-1,-1,-1,-1,-1
97018,0,1,0,1,1,-1,1,1
28508,-1,0,1,1,1,X,X,X
96655,1,1,1,1,1,0,1,1
4282,-1,1,1,1,-1,-1,1,-1
28299,-1,1,1,-1,-1,-1,1,-1
97170,1,1,1,1,1,-1,1,1
4751,1,1,1,1,1,1,1,X
96905,-1,-1,-1,-1,-1,X,X,X
97008,1,1,1,1,1,1,1,1
96831,1,1,1,1,1,1,1,1
4243,,,,,,,,
4546,-1,-1,-1,-1,-1,-1,-1,-1
4545,1,0,1,1,1,1,1,1
34254,-1,1,1,1,1,-1,-1,1
96863,,,,,,,,
28320,-1,-1,-1,-1,-1,-1,-1,-1
96860,1,1,1,1,1,X,X,X
2037,-1,-1,X,X,X,-1,-1,-1
23820,-1,1,1,-1,-1,-1,1,-1
36396,1,1,,,,,,
96678,-1,1,-1,-1,1,-1,1,-1
96920,-1,-1,-1,-1,-1,-1,-1,-1
96855,-1,0,X,X,X,X,X,X
28358,-1,-1,-1,-1,-1,-1,-1,-1
23808,0,0,1,X,1,1,1,1
28316,-1,1,X,X,X,-1,1,-1
4521,X,X,X,X,X,X,X,X
29579,1,1,1,1,1,1,1,1
97136,1,1,X,X,X,1,1,1
1945,-1,1,1,-1,-1,X,X,X
96821,1,1,1,1,1,1,1,1
102931,1,1,1,1,1,1,1,1
96847,1,1,1,1,1,1,1,1
39726,-1,1,1,-1,-1,-1,1,-1
96974,-1,1,1,-1,-1,-1,1,1
107385,-1,1,-1,-1,-1,-1,1,1
96874,-1,1,X,X,X,-1,1,0
25704,-1,1,1,-1,-1,X,X,X
96871,-1,1,-1,-1,1,-1,-1,X
28153,1,1,1,1,1,0,X,1
96776,-1,1,X,-1,-1,-1,-1,-1
97026,X,X,1,1,1,1,1,1
96713,-1,-1,-1,-1,-1,-1,-1,-1
96697,-1,-1,-1,-1,-1,-1,-1,-1
28584,X,X,1,1,1,1,0,0
28240,X,X,X,X,X,1,X,X
96909,,,,,,,,
97203,X,X,1,-1,1,0,1,1
28514,-1,-1,0,1,1,0,1,1
96773,-1,1,1,-1,-1,,,
96898,-1,1,1,-1,-1,X,X,X
96703,1,1,1,1,1,0,1,1
96660,-1,0,X,X,X,-1,-1,-1
97131,1,1,-1,-1,1,1,1,1
28221,-1,1,1,-1,-1,-1,1,-1
96835,X,X,1,-1,-1,X,X,X
38601,-1,1,1,0,-1,-1,1,-1
96698,,,,,,,,
96845,1,1,X,X,X,1,1,1
28617,-1,1,1,-1,-1,-1,X,X
97019,0,1,X,X,X,X,X,X
96937,-1,1,X,X,X,-1,-1,-1
96946,-1,-1,-1,-1,-1,-1,-1,-1
28165,-1,1,1,1,1,-1,1,1
4513,-1,-1,-1,-1,-1,-1,-1,-1
1956,-1,0,1,-1,-1,-1,0,1
4398,1,1,-1,-1,1,1,1,1
96918,-1,1,1,1,1,-1,1,1
28177,1,1,1,1,1,1,1,1
96756,-1,1,1,-1,-1,-1,1,X
4308,-1,1,X,X,X,-1,1,-1
34232,1,1,,,,,,
28323,-1,-1,-1,-1,-1,-1,-1,-1
5737,-1,1,1,-1,-1,-1,1,-1
96761,-1,1,1,-1,-1,-1,1,-1
96774,-1,1,1,-1,-1,-1,-1,-1
2155,1,1,-1,-1,1,1,1,1
96802,X,X,X,X,X,-1,-1,-1
2319,1,1,1,1,1,1,-1,1
39713,1,1,-1,-1,1,1,1,1
1907,1,1,1,1,1,1,1,1
28227,-1,1,1,-1,1,,,
97016,1,1,1,1,0,1,1,1
28130,1,1,X,X,X,1,1,1
96839,1,1,1,1,1,1,1,1
2323,-1,1,1,-1,-1,-1,1,X
96677,1,1,X,-1,1,-1,1,1
96764,-1,1,1,-1,-1,-1,-1,-1
39725,-1,0,1,1,-1,-1,1,-1
23784,-1,-1,X,X,X,-1,-1,X
96944,-1,-1,X,X,X,-1,-1,-1
28278,1,1,1,1,1,1,1,1
96763,-1,1,1,-1,-1,-1,1,-1
96777,-1,1,1,-1,-1,-1,1,-1
41007,-1,1,1,-1,-1,-1,1,-1
96778,-1,1,1,-1,-1,-1,-1,-1
28615,-1,-1,-1,-1,-1,-1,-1,-1
96762,-1,1,X,X,X,-1,1,-1
96784,-1,1,1,-1,-1,-1,-1,-1
28248,1,-1,1,1,1,1,1,1
96803,-1,-1,-1,-1,-1,-1,-1,-1
28301,-1,1,1,-1,-1,-1,-1,-1
28279,1,1,1,X,1,1,X,X
28511,,,,,,,,
96735,1,-1,1,1,1,1,1,1
96858,1,-1,X,X,X,1,1,1
96994,-1,1,X,X,X,-1,1,X
97198,-1,1,-1,-1,-1,-1,1,-1
96809,1,1,1,1,1,0,1,1
97133,-1,-1,-1,-1,-1,-1,-1,-1
96878,-1,1,-1,-1,-1,-1,-1,-1
28424,-1,1,1,-1,-1,-1,1,-1
96705,-1,1,1,1,-1,-1,1,X
28120,-1,X,,,,,,
28352,-1,1,1,-1,-1,-1,1,-1
96933,-1,1,1,-1,-1,X,X,X
96876,-1,1,1,-1,-1,-1,1,1
96901,-1,1,X,X,X,-1,1,-1
28313,,,,,,,,
23746,-1,1,1,-1,-1,X,1,1
28112,-1,1,-1,1,-1,0,1,1
96754,-1,1,1,1,1,-1,1,1
1832,-1,X,1,1,1,-1,1,1
23894,-1,1,1,-1,-1,-1,1,-1
1405,-1,1,X,X,X,X,1,1
4544,,,,,,,,
34234,1,1,-1,-1,1,1,1,1
96726,1,1,1,1,1,1,1,1
28409,1,1,1,1,1,1,1,1
28253,1,1,1,1,1,1,1,1
28251,1,0,1,1,1,1,1,1
