v_dbid,5249,4462,5216,5217,4662,44475227,5243,4458,4657,4661
96850,,,,,,,,,,
96897,-1,0,1,-1,-1,,-1,-1,-1,-1
28367,,,,,,,,,,
96736,0,1,1,0,-1,,-1,1,-1,-1
97086,X,X,X,X,1,,X,X,1,1
96750,0,1,1,0,-1,,-1,1,-1,-1
96992,0,-1,0,0,-1,,1,-1,-1,-1
28246,X,X,X,X,X,,X,X,X,X
96976,1,1,-1,1,1,,X,1,1,1
96986,1,1,-1,1,1,,1,1,1,1
96954,-1,-1,-1,-1,-1,,0,-1,-1,-1
28276,1,-1,-1,1,X,,1,-1,X,X
1941,1,-1,-1,1,1,,1,-1,1,1
99419,-1,-1,1,-1,-1,,-1,1,-1,-1
97193,X,X,X,X,X,,X,X,X,X
96702,1,-1,-1,1,1,,1,-1,1,1
28422,X,-1,X,X,1,,X,-1,1,1
96808,X,-1,X,X,X,,X,-1,X,X
28137,,,,,,,,,,
97228,X,1,X,X,-1,,X,1,-1,0
97009,X,1,X,X,1,,X,1,1,1
28132,-1,-1,-1,-1,-1,,0,-1,-1,-1
4537,X,X,X,X,X,,X,X,X,X
23938,X,1,X,X,X,,X,1,X,X
96862,X,-1,X,X,1,,X,-1,1,1
28161,0,1,1,0,-1,,-1,1,-1,-1
28292,1,1,-1,1,1,,1,1,1,1
28114,0,1,1,0,1,,1,1,0,0
4319,X,X,X,X,1,,X,X,1,1
96659,,,,,,,,,,
96791,1,-1,-1,1,1,,1,-1,1,1
23819,1,-1,-1,1,1,,1,-1,1,1
28170,1,-1,-1,1,1,,1,-1,1,1
36281,1,X,-1,1,X,,1,X,X,X
28619,-1,1,1,-1,-1,,-1,1,-1,-1
96719,-1,-1,-1,-1,-1,,0,-1,-1,-1
97293,1,-1,-1,1,1,,1,-1,1,1
23813,1,-1,-1,1,1,,1,-1,1,1
96680,X,X,X,X,X,,X,X,X,X
96757,1,-1,-1,1,1,,1,-1,1,1
96997,1,-1,-1,1,X,,1,-1,X,X
96979,1,1,-1,1,X,,1,1,X,X
21818,1,-1,-1,1,X,,1,-1,X,X
5956,1,X,-1,1,X,,1,-1,1,1
28497,-1,0,1,-1,X,,-1,-1,X,X
23866,1,-1,-1,1,1,,1,-1,1,1
96738,0,1,1,0,-1,,-1,1,-1,-1
