v_dbid,5249,4462,5216,5217,4662,44475227,5243,4458,4657,4661
1037,X,-1,X,X,X,,X,-1,1,1
96814,1,-1,-1,1,X,,1,-1,X,X
28354,X,-1,X,X,1,,X,-1,1,1
96955,1,1,1,1,0,,1,1,0,1
96846,,,,,,,,,,
107041,1,-1,-1,1,1,,1,-1,1,1
4507,0,1,-1,-1,1,,0,-1,1,1
28257,1,-1,-1,1,1,,1,-1,1,1
96732,0,1,1,0,-1,,-1,1,-1,-1
28214,1,1,-1,1,1,,1,1,-1,1
1985,1,1,-1,1,1,,1,1,1,1
4746,1,X,-1,1,1,,1,X,1,1
97156,1,1,-1,1,1,,1,1,1,1
28174,1,1,-1,1,0,,1,1,0,0
96699,X,1,X,X,X,,X,1,X,X
96922,1,1,-1,1,1,,1,1,1,1
38610,X,X,X,X,X,,X,X,X,X
96681,1,X,-1,1,X,,1,X,X,X
39711,1,1,-1,1,1,,1,1,1,1
39722,1,-1,-1,-1,1,,1,-1,1,1
21817,1,-1,1,0,X,,1,-1,X,X
96916,1,1,-1,1,1,,1,1,1,1
96799,1,-1,-1,1,1,,1,-1,1,1
105624,1,-1,-1,1,1,,1,-1,1,1
96744,X,1,1,0,X,,X,1,X,X
33570,1,1,-1,1,X,,1,1,X,X
28171,X,1,X,X,0,,X,1,1,0
4540,X,-1,X,X,X,,X,-1,X,X
96662,,1,,,-1,,,1,-1,-1
28463,,,,,,,,,,
1263,1,-1,-1,1,1,,1,-1,1,1
96749,-1,1,1,-1,-1,,-1,-1,-1,-1
96716,1,1,-1,1,1,,1,1,1,1
38420,,,,,,,,,,
96798,X,0,X,X,-1,,X,-1,-1,-1
4267,0,1,1,0,-1,,-1,1,-1,X
28269,1,-1,-1,1,1,,1,-1,1,1
28324,X,-1,X,X,-1,,X,-1,-1,-1
96849,1,-1,X,1,1,,1,-1,1,1
4536,-1,-1,-1,-1,-1,,0,-1,-1,-1
96912,X,-1,X,X,-1,,X,-1,-1,-1
96733,1,X,-1,1,1,,1,X,1,1
96711,,,,,,,,,,
28311,1,1,1,1,1,,1,1,1,1
96866,1,1,-1,1,1,,1,1,1,1
96867,1,-1,-1,1,1,,1,-1,1,1
28122,X,-1,-1,X,1,,X,-1,1,1
4532,X,1,X,X,1,,X,1,1,-1
28219,1,-1,-1,1,1,,1,-1,1,1
28148,1,1,-1,1,1,,1,X,1,1
28206,1,X,-1,1,1,,1,-1,1,1
4337,1,1,X,-1,1,,1,1,1,1
28243,X,1,X,X,1,,X,1,1,1
2097,X,X,X,X,-1,,X,X,-1,-1
96603,1,1,1,1,0,,-1,1,0,0
26851,-1,0,1,-1,-1,,-1,1,-1,-1
28154,0,1,-1,0,1,,1,1,-1,1
24030,-1,-1,0,-1,0,,-1,-1,1,0
28493,-1,0,1,-1,-1,,-1,-1,-1,-1
1892,1,-1,-1,1,1,,1,-1,0,1
96915,1,1,-1,1,1,,1,1,1,1
94283,X,X,X,X,X,,X,X,X,X
96775,1,-1,-1,1,1,,1,-1,1,1
96674,1,X,-1,1,1,,1,X,1,1
96975,1,1,-1,1,X,,1,1,X,X
96987,1,1,-1,1,1,,1,1,1,1
96917,1,X,-1,1,1,,1,X,1,1
96880,1,1,-1,1,1,,1,X,1,1
28238,0,X,1,0,X,,-1,1,X,X
33997,1,1,-1,1,1,,1,1,1,1
96873,1,1,-1,1,1,,1,1,1,X
96886,,,,,,,,,,
2109,0,X,1,0,1,,1,X,0,0
96856,1,1,-1,1,1,,1,1,1,1
96786,X,-1,X,X,-1,,X,-1,-1,-1
28372,X,-1,X,X,X,,X,-1,X,X
97125,1,1,-1,1,1,,X,1,1,1
99325,X,1,-1,1,1,,1,1,1,1
96747,1,-1,-1,1,1,,1,-1,1,1
97296,1,-1,-1,1,1,,1,-1,1,1
96958,X,X,X,X,X,,X,X,X,X
72775,1,X,-1,1,1,,1,X,1,1
96973,1,X,-1,1,X,,1,X,X,X
4554,1,1,-1,1,X,,1,1,X,X
4318,1,1,-1,1,1,,1,1,1,1
28397,X,-1,X,X,1,,X,-1,1,1
95281,1,1,-1,1,1,,1,1,1,1
96887,1,X,-1,1,1,,1,X,1,1
96891,1,1,-1,1,1,,1,1,1,1
96748,X,1,X,X,-1,,X,0,-1,-1
38398,1,X,-1,1,X,,1,X,X,X
1746,X,X,X,X,X,,X,X,X,X
1289,,,,,,,,,,
4347,1,-1,-1,1,1,,1,-1,1,1
2212,X,X,X,X,X,,X,X,X,X
28228,1,-1,-1,1,1,,1,-1,1,1
28256,X,X,X,X,X,,X,X,X,X
28390,1,-1,-1,1,X,,1,-1,X,X
96868,0,1,1,0,-1,,-1,1,-1,-1
96914,1,-1,-1,1,1,,1,-1,1,1
96826,X,-1,X,X,1,,X,-1,1,1
4556,-1,-1,-1,-1,-1,,0,-1,-1,-1
96951,X,0,X,X,X,,X,-1,X,X
96888,1,1,-1,1,1,,1,1,1,1
96692,1,1,-1,1,1,,1,1,1,1
96787,1,-1,-1,1,1,,1,-1,1,1
96717,1,1,-1,1,1,,1,1,1,1
4514,1,1,-1,1,1,,1,1,1,1
96639,X,X,X,X,-1,,X,X,-1,-1
28226,1,-1,-1,1,1,,1,-1,1,X
39769,X,1,X,X,-1,,X,1,-1,-1
96725,X,1,X,X,-1,,X,1,-1,-1
28127,,,,,,,,,,
25718,1,1,-1,1,1,,1,1,1,1
1419,0,X,X,X,X,,0,X,X,X
96859,1,1,-1,1,1,,1,1,1,1
96676,0,X,1,0,-1,,-1,X,-1,-1
96852,-1,1,1,-1,-1,,-1,1,-1,-1
96842,1,X,1,1,1,,1,X,1,1
96682,0,-1,-1,0,1,,1,-1,1,1
96811,1,-1,-1,1,1,,1,-1,1,1
4550,-1,1,1,-1,-1,,-1,1,-1,-1
23695,-1,-1,-1,-1,-1,,0,-1,-1,-1
96911,X,1,X,X,X,,X,1,X,1
23840,X,1,X,X,1,,X,1,1,1
4265,1,X,X,1,1,,-1,X,-1,1
96977,1,X,-1,1,1,,1,-1,1,1
96899,1,-1,-1,1,1,,1,-1,1,1
28308,1,1,-1,1,1,,1,1,1,1
96706,-1,1,1,-1,X,,-1,1,X,X
96810,1,-1,-1,1,X,,1,-1,X,X
96729,X,-1,X,X,1,,X,-1,1,1
28126,1,X,-1,1,X,,1,X,X,X
4385,X,1,1,0,-1,,X,1,-1,-1
96840,1,1,1,1,1,,1,1,1,1
1038,X,-1,X,X,1,,X,-1,1,1
96993,1,-1,1,0,-1,,1,-1,-1,-1
96949,-1,-1,-1,-1,X,,0,-1,X,X
4553,X,-1,X,X,X,,X,-1,X,X
1993,X,-1,X,X,1,,X,-1,1,1
96908,X,-1,X,X,1,,X,-1,1,1
2341,1,-1,-1,1,1,,1,-1,1,1
2125,0,1,1,0,1,,1,1,0,0
96896,1,-1,-1,1,1,,1,-1,1,1
28298,1,1,-1,1,1,,1,1,1,1
1992,,,,,,,,,,
96991,1,1,-1,1,1,,1,1,1,1
58758,X,-1,X,X,1,,X,-1,1,1
4562,X,-1,X,X,X,,X,-1,X,X
1665,X,-1,X,X,X,,X,-1,X,X
28193,1,-1,-1,1,1,,1,-1,1,1
28150,1,-1,-1,1,1,,1,-1,1,1
102886,1,-1,-1,1,1,,1,-1,1,1
96832,1,1,-1,1,1,,1,1,1,1
1913,1,1,1,0,0,,1,1,1,0
96833,1,1,1,1,-1,,1,1,-1,0
96940,1,1,-1,1,1,,1,1,1,1
28377,1,1,-1,1,1,,1,1,1,1
96730,-1,1,1,0,-1,,-1,1,-1,-1
28379,1,1,-1,1,1,,1,1,1,1
96956,-1,-1,-1,-1,-1,,0,-1,-1,-1
1902,1,1,-1,1,1,,1,1,1,1
28145,1,-1,-1,1,1,,X,-1,1,1
97004,1,X,-1,1,X,,1,X,X,X
4429,1,X,-1,1,X,,X,X,X,X
840,1,1,-1,X,1,,1,1,1,1
1164,-1,-1,-1,-1,-1,,-1,-1,0,-1
28306,1,1,-1,1,1,,1,1,1,1
97137,X,1,X,X,1,,X,1,1,1
28220,1,-1,-1,1,1,,1,-1,1,1
96790,-1,-1,-1,-1,X,,0,-1,X,X
28123,,,,,,,,,,
96953,,,,,,,,,,
96745,X,1,X,X,-1,,X,1,-1,-1
28208,1,1,-1,1,1,,1,1,1,1
96751,X,X,X,X,-1,,X,-1,-1,-1
34728,X,1,X,X,1,,X,X,1,1
2247,1,-1,-1,1,1,,1,-1,1,1
2025,1,-1,-1,1,1,,1,-1,1,1
23785,1,-1,-1,1,1,,1,-1,X,1
96892,1,1,-1,1,1,,1,1,1,1
96768,1,1,-1,1,1,,1,1,1,1
96952,1,1,-1,1,1,,1,1,1,1
23805,1,1,-1,1,X,,1,1,X,X
103488,1,1,-1,1,1,,1,1,1,1
4326,X,-1,X,X,1,,X,-1,1,1
96683,,,,,,,,,,
28477,1,1,-1,1,0,,1,1,0,0
28275,1,-1,-1,1,1,,1,-1,1,1
96707,1,X,-1,1,1,,1,X,1,1
4555,X,-1,X,X,-1,,X,-1,-1,-1
4538,-1,-1,-1,-1,-1,,0,-1,-1,-1
28116,0,1,-1,1,1,,1,1,1,0
103132,-1,0,1,-1,-1,,-1,-1,-1,-1
28321,0,1,1,0,-1,,-1,1,-1,-1
1914,1,1,1,1,-1,,1,1,-1,-1
96758,0,1,1,0,-1,,-1,1,-1,-1
96851,-1,1,1,-1,-1,,-1,1,-1,-1
96752,0,X,1,0,X,,-1,X,X,X
28215,-1,1,1,-1,-1,,-1,1,-1,-1
96779,1,-1,-1,1,X,,1,-1,X,X
28131,X,X,X,X,-1,,X,X,-1,-1
4516,-1,0,1,-1,-1,,-1,-1,-1,-1
22418,X,-1,X,X,1,,X,-1,1,1
96753,1,-1,-1,1,1,,1,-1,1,1
28117,0,-1,0,0,X,,1,-1,X,X
96872,X,1,X,X,1,,X,1,1,1
96950,1,1,-1,1,1,,1,1,1,1
96881,,,,,,,,,,
96780,1,-1,-1,1,1,,1,-1,1,1
5846,0,X,-1,0,1,,1,X,1,-1
5565,1,-1,-1,1,1,,1,-1,1,1
2073,0,1,-1,0,1,,1,1,1,-1
2338,X,X,X,X,X,,X,X,X,X
34249,1,1,-1,1,1,,1,1,1,1
96818,1,-1,-1,1,1,,1,-1,1,1
28125,1,-1,-1,1,1,,1,-1,1,1
34235,1,1,-1,1,1,,1,1,1,1
96693,0,1,0,1,0,,0,1,0,0
28266,1,1,-1,1,1,,1,1,1,1
38605,1,1,-1,1,X,,1,1,X,X
97130,1,1,-1,1,1,,1,1,1,1
105192,1,1,-1,1,1,,1,1,1,1
28398,X,X,X,X,1,,X,X,1,1
96834,,,,,,,,,,
96684,1,1,-1,1,1,,1,1,1,1
96740,0,1,1,0,-1,,-1,1,-1,-1
96772,1,-1,-1,1,1,,1,-1,1,1
96781,1,-1,-1,1,1,,1,-1,1,1
28141,X,X,X,X,1,,X,X,1,1
28156,X,1,X,X,1,,X,1,1,1
96782,1,-1,-1,1,1,,1,-1,1,1
4271,1,-1,-1,1,1,,X,-1,1,1
4440,1,X,-1,1,1,,1,1,1,1
96806,1,-1,-1,1,1,,1,-1,1,1
96883,X,1,X,X,-1,,X,1,-1,-1
28291,X,-1,X,X,1,,X,-1,1,1
96708,,,,,,,,,,
96884,1,-1,-1,1,1,,1,-1,1,1
23691,X,X,X,X,1,,X,X,1,1
28280,1,-1,-1,1,1,,1,-1,1,1
97014,-1,1,1,-1,0,,-1,1,-1,1
96807,1,1,-1,1,X,,1,1,1,1
96771,1,-1,-1,1,1,,1,-1,1,1
96934,1,-1,-1,1,1,,1,-1,1,1
33569,-1,X,-1,-1,-1,,0,X,-1,-1
23792,X,-1,X,X,1,,X,-1,1,1
96837,1,1,1,1,1,,1,1,1,1
28481,-1,-1,-1,-1,X,,0,-1,X,X
25919,1,-1,-1,1,X,,1,-1,X,X
38613,1,1,-1,1,1,,1,1,1,1
96829,1,-1,-1,1,1,,1,-1,1,1
96882,1,-1,-1,1,1,,1,-1,1,1
96734,-1,1,1,0,-1,,-1,1,-1,-1
96668,0,-1,0,0,1,,1,-1,0,1
96737,-1,1,1,0,-1,,-1,1,-1,-1
34231,1,1,-1,1,1,,X,1,1,1
1929,1,-1,-1,1,1,,1,-1,1,1
23413,1,1,-1,1,1,,1,1,1,1
28244,1,X,-1,1,X,,1,X,X,X
96769,-1,X,1,-1,-1,,-1,X,-1,-1
96704,X,-1,X,X,-1,,X,X,-1,X
1852,1,-1,-1,1,1,,1,-1,1,1
28241,X,X,X,X,X,,X,X,X,X
28331,0,0,0,0,X,,X,1,X,X
96785,X,-1,X,X,1,,X,-1,1,1
39319,1,1,-1,1,1,,1,1,1,1
4260,1,-1,-1,1,1,,1,-1,1,1
97011,1,-1,-1,1,X,,1,-1,X,X
102887,-1,1,-1,-1,X,,-1,1,X,X
96793,-1,-1,-1,-1,-1,,0,-1,-1,-1
101954,1,-1,-1,1,1,,1,-1,1,1
23873,1,1,-1,1,1,,1,1,1,1
28247,1,1,-1,1,X,,1,1,X,X
4482,1,-1,-1,1,1,,1,-1,1,1
1854,1,1,1,1,1,,1,1,1,1
1935,X,1,X,X,1,,X,1,1,1
96767,1,-1,-1,1,X,,1,-1,X,X
96651,1,-1,-1,1,1,,1,-1,1,1
96795,-1,X,-1,-1,-1,,0,X,-1,-1
96816,1,-1,-1,1,1,,1,-1,1,1
1204,X,X,X,X,X,,X,X,X,X
4531,-1,1,1,0,-1,,-1,1,-1,-1
96648,0,1,1,0,-1,,-1,1,-1,-1
1909,1,1,1,0,1,,1,1,1,1
28399,1,-1,-1,1,1,,1,-1,1,1
96854,-1,0,1,-1,-1,,-1,1,-1,-1
96675,-1,X,1,-1,-1,,-1,X,-1,-1
96709,X,1,X,X,1,,X,1,1,1
105849,1,-1,-1,1,X,,1,-1,X,X
101580,X,-1,-1,1,1,,1,-1,1,1
1023,X,X,X,X,-1,,X,X,0,-1
28210,-1,0,-1,0,X,,-1,0,X,X
4283,,,,,,,,,,
2224,X,-1,X,X,1,,X,-1,1,1
4262,1,1,1,1,1,,1,1,1,1
97076,X,1,X,X,1,,X,1,1,1
1927,X,X,X,X,1,,X,X,1,1
96788,1,-1,-1,1,1,,1,-1,1,1
96728,-1,1,1,0,-1,,-1,1,-1,-1
96765,X,-1,-1,1,1,,1,-1,1,1
4529,1,1,-1,1,0,,1,1,1,0
96673,1,1,1,1,1,,-1,1,1,1
96823,X,-1,X,X,1,,X,-1,1,1
1186,1,-1,-1,1,1,,1,-1,1,1
97017,X,1,X,X,-1,,X,1,-1,-1
4541,,,,,,,,,,
96959,1,1,-1,1,0,,X,1,0,0
23704,X,0,X,X,-1,,X,1,-1,-1
28192,1,1,-1,1,1,,1,1,1,1
96824,1,-1,-1,1,1,,1,-1,1,1
96904,,,,,,,,,,
4560,1,1,-1,-1,1,,1,1,1,1
1922,1,-1,-1,1,1,,1,-1,1,1
96685,1,X,-1,1,X,,1,X,X,X
96792,1,-1,-1,1,1,,1,-1,1,1
4346,1,1,-1,1,1,,1,1,1,1
1403,0,1,-1,0,1,,1,1,1,-1
4238,-1,1,1,-1,-1,,-1,1,-1,-1
28338,X,1,X,X,X,,X,1,1,X
4462,X,X,X,X,X,,X,X,X,X
96813,1,-1,-1,1,X,,1,-1,X,X
4412,X,-1,X,X,1,,X,-1,1,1
96820,X,X,X,X,-1,,X,X,-1,-1
96936,X,-1,X,X,X,,X,-1,X,X
95017,1,-1,-1,1,1,,1,-1,1,1
96906,,,,,,,,,,
4275,1,-1,-1,1,1,,1,-1,1,1
96817,1,-1,-1,1,1,,1,-1,1,1
96742,-1,X,1,-1,-1,,-1,X,-1,-1
1873,,,,,,,,,,
96652,1,-1,-1,1,1,,1,-1,1,1
28255,X,0,-1,X,1,,X,0,1,1
39717,,1,,,,,,1,,
2327,X,1,X,0,1,,X,1,X,-1
2173,X,X,-1,0,1,,X,X,1,-1
96919,-1,-1,-1,-1,-1,,0,-1,-1,-1
28115,0,-1,0,0,1,,1,-1,0,1
96870,1,1,-1,1,1,,1,1,X,1
4348,1,1,-1,1,1,,1,1,1,1
96910,1,1,-1,1,1,,1,1,1,1
96663,-1,1,1,-1,0,,-1,1,0,-1
28407,-1,1,1,-1,-1,,-1,1,-1,-1
96670,1,1,-1,1,1,,1,1,1,1
96800,-1,-1,-1,-1,-1,,0,-1,-1,-1
28178,1,-1,-1,1,1,,1,-1,1,1
97020,1,1,-1,1,X,,1,1,X,X
28400,1,-1,-1,1,1,,1,-1,1,1
96999,1,1,-1,1,X,,1,1,X,X
4519,0,1,-1,0,1,,1,1,1,X
96930,1,1,-1,1,1,,1,1,0,1
97280,1,-1,1,0,-1,,1,-1,-1,-1
38596,1,-1,-1,1,1,,1,-1,1,1
96695,1,X,-1,1,1,,1,X,1,1
96661,-1,1,-1,-1,0,,-1,1,0,0
96760,1,-1,-1,1,1,,1,-1,1,1
96701,1,1,-1,1,1,,1,1,1,1
1965,1,1,-1,1,1,,1,1,1,X
97344,-1,0,1,-1,-1,,-1,1,X,-1
1073,X,-1,X,X,1,,X,-1,-1,1
28506,-1,0,1,-1,-1,,-1,-1,-1,-1
96848,1,-1,-1,1,1,,1,X,1,1
96844,1,1,1,1,-1,,1,1,0,1
96653,1,1,-1,1,1,,1,1,1,1
1394,1,1,-1,1,1,,1,1,0,1
96861,1,X,-1,1,1,,1,X,1,1
1946,1,1,-1,1,1,,1,1,1,1
1318,-1,-1,-1,-1,-1,,0,-1,-1,-1
96825,1,1,-1,1,1,,1,1,1,1
39714,X,-1,X,X,1,,X,-1,1,1
4289,1,-1,-1,1,1,,1,-1,1,1
96794,1,-1,-1,1,1,,1,-1,1,1
96805,X,X,X,X,X,,X,X,X,X
96981,1,0,-1,0,1,,0,0,1,1
4328,1,1,-1,1,1,,1,1,1,1
97230,1,1,X,1,1,,1,1,1,1
28288,1,-1,-1,1,1,,1,-1,1,1
96783,1,1,-1,1,1,,1,1,1,1
1122,1,-1,-1,1,1,,1,-1,1,1
23705,X,X,X,X,-1,,X,X,-1,-1
26829,X,1,X,X,1,,X,1,1,1
33984,1,1,-1,1,1,,1,1,1,1
96654,1,1,-1,0,1,,0,1,1,1
1191,1,-1,-1,1,1,,1,-1,1,1
97025,1,1,-1,1,1,,1,1,1,1
96694,0,X,0,0,0,,0,X,0,0
97007,X,1,-1,1,1,,1,1,1,1
97197,X,-1,X,X,1,,X,-1,1,1
38602,1,1,-1,1,1,,1,1,1,1
28365,1,1,-1,1,1,,1,1,1,1
97050,1,1,-1,1,1,,1,1,1,1
96900,1,-1,-1,1,1,,1,-1,1,1
28572,X,X,X,X,X,,X,X,X,X
96948,1,1,-1,1,1,,1,1,1,1
96902,1,-1,-1,1,1,,1,-1,1,1
36392,1,X,-1,1,X,,1,X,X,X
4270,1,1,1,-1,-1,,1,1,-1,-1
1253,1,-1,-1,1,1,,1,-1,1,1
28166,,,,,,,,,,
96989,X,1,X,X,1,,X,1,1,1
23693,1,-1,-1,1,1,,1,-1,1,1
28224,1,-1,-1,1,1,,1,-1,1,1
40599,X,-1,X,X,X,,X,1,X,X
28341,-1,-1,-1,-1,-1,,0,-1,-1,-1
96890,X,1,X,X,X,,X,1,X,X
2307,1,-1,-1,1,1,,1,-1,1,1
4436,X,X,X,X,X,,X,X,X,X
96715,1,1,-1,1,1,,1,1,1,1
39317,1,1,-1,1,1,,1,1,1,1
96931,1,-1,-1,1,1,,1,-1,1,1
96801,-1,-1,-1,-1,X,,0,-1,X,X
28406,,,,,,,,,,
2229,1,-1,-1,1,1,,1,-1,1,1
96658,X,-1,-1,1,X,,X,-1,X,X
96838,1,-1,-1,1,1,,1,-1,1,1
107386,0,1,0,0,1,,0,X,1,1
28370,1,1,1,1,1,,1,1,1,1
23782,X,-1,X,X,1,,X,-1,1,1
1055,X,-1,X,X,1,,X,-1,1,1
96925,1,1,-1,1,1,,1,1,1,1
2278,1,-1,-1,1,1,,1,-1,1,1
4294,0,1,1,0,-1,,-1,1,-1,-1
96998,-1,1,1,-1,0,,-1,1,-1,1
96875,1,1,-1,1,1,,1,1,1,1
28330,0,X,0,0,0,,0,X,0,0
96686,1,X,-1,1,1,,1,X,1,1
28225,X,-1,X,X,1,,X,-1,1,1
28349,1,1,-1,1,1,,X,1,1,1
4253,1,1,-1,1,1,,1,1,1,1
96885,1,-1,-1,1,1,,1,-1,1,1
96743,X,X,X,X,X,,X,X,X,X
97199,X,-1,X,X,X,,X,-1,X,X
97022,1,1,-1,1,1,,1,1,1,1
93624,1,1,1,1,0,,1,1,1,0
96710,X,1,X,X,1,,X,1,-1,1
96990,1,1,-1,1,1,,1,1,1,1
96819,1,X,-1,1,X,,1,-1,X,X
96664,-1,-1,-1,-1,-1,,0,-1,-1,-1
97196,1,-1,-1,1,1,,1,-1,1,1
1183,X,1,X,X,0,,X,1,-1,0
23707,1,1,-1,1,1,,1,1,1,1
96988,-1,0,1,-1,-1,,-1,1,-1,-1
4345,1,-1,-1,1,1,,1,-1,1,1
2002,1,-1,-1,1,1,,1,-1,1,1
96889,X,X,-1,1,X,,X,X,X,X
99416,1,-1,-1,1,1,,1,1,1,1
28404,X,-1,X,X,-1,,X,-1,-1,-1
96746,X,-1,-1,1,1,,X,-1,1,1
96815,0,1,1,0,-1,,-1,1,-1,-1
4423,1,-1,-1,1,1,,1,-1,1,1
96696,1,X,-1,1,1,,1,X,1,1
97308,1,1,-1,1,1,,1,1,1,1
28295,1,1,-1,1,1,,1,1,1,1
33989,1,X,-1,1,1,,1,X,1,1
39724,1,-1,-1,1,1,,1,-1,1,1
37676,-1,1,1,-1,-1,,-1,0,-1,-1
96945,1,1,-1,1,1,,1,1,1,1
37312,0,1,-1,0,1,,1,1,-1,1
28135,1,-1,-1,1,1,,1,-1,1,1
28139,-1,1,1,-1,X,,-1,1,X,X
4274,1,1,1,-1,-1,,1,1,-1,-1
1930,X,-1,X,X,1,,X,-1,1,1
96827,X,X,X,X,1,,X,X,1,1
96646,-1,1,1,-1,-1,,-1,1,-1,-1
1933,-1,1,1,-1,-1,,-1,1,-1,-1
96731,0,1,1,0,-1,,-1,1,-1,-1
28223,1,-1,-1,1,1,,1,-1,1,1
96671,,,,,,,,,,
96996,1,-1,1,0,-1,,1,-1,-1,-1
96843,1,-1,-1,1,X,,1,-1,X,X
28252,1,-1,-1,1,1,,1,-1,1,1
96718,1,1,-1,1,1,,1,1,1,1
96789,1,1,-1,1,1,,1,1,1,1
96865,,,,,,,,,,
33990,1,1,-1,1,1,,1,1,1,1
23787,1,-1,-1,1,1,,1,-1,1,1
96755,1,-1,-1,1,1,,1,-1,1,1
96836,1,1,1,1,1,,1,1,1,1
1309,0,1,-1,0,1,,1,1,1,-1
96960,X,0,X,X,-1,,X,0,-1,-1
96932,X,1,X,X,1,,X,1,1,1
28380,1,1,-1,1,1,,1,1,1,1
2081,0,1,-1,1,1,,1,1,1,-1
96770,1,-1,-1,1,1,,1,-1,1,1
97018,1,1,-1,1,1,,1,1,1,1
28508,X,1,X,X,-1,,X,1,-1,-1
96655,X,X,X,X,1,,X,X,1,1
4282,X,-1,X,X,1,,X,-1,1,1
28299,1,-1,-1,1,1,,1,-1,1,1
97170,1,1,-1,1,1,,1,1,1,1
4751,0,1,1,0,-1,,-1,1,-1,-1
96905,-1,0,1,-1,-1,,-1,-1,-1,-1
97008,X,1,-1,1,1,,1,1,1,1
96831,1,1,-1,1,1,,1,1,1,1
4243,,,,,,,,,,
4546,-1,-1,-1,-1,-1,,0,-1,-1,-1
4545,0,1,-1,0,1,,1,1,1,-1
34254,1,-1,X,1,-1,,-1,-1,1,-1
96863,,,,,,,,,,
28320,X,-1,X,X,-1,,X,-1,-1,-1
96860,1,-1,-1,1,1,,1,-1,1,1
2037,-1,X,-1,-1,X,,0,X,X,X
23820,1,-1,-1,1,1,,1,-1,1,1
36396,,,,,,,,,,
96678,1,-1,1,1,1,,1,-1,1,1
96920,-1,-1,-1,-1,-1,,0,-1,-1,-1
96855,0,X,0,1,X,,1,X,X,X
28358,-1,-1,-1,-1,-1,,0,-1,-1,-1
23808,X,1,X,X,1,,X,1,1,1
28316,1,-1,-1,1,1,,1,-1,1,1
4521,-1,-1,-1,-1,-1,,0,-1,-1,-1
29579,1,1,-1,1,X,,1,1,X,X
97136,0,1,0,1,0,,-1,1,-1,0
1945,X,X,X,X,X,,X,X,X,X
96821,X,1,X,X,-1,,X,1,-1,-1
102931,-1,1,1,0,-1,,-1,1,-1,-1
96847,1,1,-1,1,1,,1,1,1,1
39726,X,-1,X,X,1,,X,-1,1,1
96974,1,-1,-1,1,1,,1,-1,1,1
107385,1,-1,-1,1,1,,1,-1,1,1
96874,1,1,-1,1,1,,1,1,1,1
25704,X,-1,-1,1,1,,X,-1,1,1
96871,1,1,-1,1,1,,1,1,1,1
28153,0,1,-1,0,1,,1,X,-1,1
96776,1,-1,-1,1,X,,1,-1,X,X
97026,1,1,-1,1,1,,1,1,1,X
96713,-1,-1,-1,-1,X,,0,-1,X,X
96697,X,-1,-1,-1,X,,0,-1,-1,X
28584,-1,-1,1,-1,-1,,-1,1,-1,-1
28240,0,X,1,0,-1,,-1,X,-1,-1
96909,,,,,,,,,,
97203,X,1,-1,1,1,,1,1,1,1
28514,-1,1,1,-1,-1,,-1,1,-1,-1
96773,1,-1,-1,1,1,,1,-1,1,1
96898,X,-1,-1,1,X,,X,-1,X,X
96703,0,X,-1,0,1,,1,X,-1,1
96660,X,-1,X,X,X,,X,1,X,X
97131,0,1,1,1,1,,-1,1,-1,1
